property,postcode,transfer_unit_postcode,transfer_unit_travel_time,selected,selected,BNG_E,BNG_N,Latitude,Longitude,BNG_E_mt,BNG_N_mt,Latitude_mt,Longitude_mt,unit_coords,transfer_coords,line_coords,geometry
scenario,any,any,any,drip-and-ship,mothership,any,any,any,any,any,any,any,any,any,any,any,any
id,,,,,,,,,,,,,,,,,
24,BS105NB,BS105NB,0.0,1.0,1.0,358935.0,177766.0,51.497333,-2.5929485,358935.0,177766.0,51.497333,-2.5929485,"[358935.0, 177766.0]","[358935.0, 177766.0]","[[358935.0, 177766.0], [358935.0, 177766.0]]","LINESTRING (358935 177766, 358935 177766)"
25,BS234TQ,BS105NB,43.4,1.0,,332406.0,158585.0,51.322335,-2.9713986,358935.0,177766.0,51.497333,-2.5929485,"[332406.0, 158585.0]","[358935.0, 177766.0]","[[332406.0, 158585.0], [358935.0, 177766.0]]","LINESTRING (332406 158585, 358935 177766)"
26,BS234TQ,,,,0.0,332406.0,158585.0,51.322335,-2.9713986,,,,,"[332406.0, 158585.0]","[nan, nan]","[[332406.0, 158585.0], [nan, nan]]","LINESTRING (332406 158585, NaN NaN)"
27,BS28HW,,,0.0,0.0,358668.0,173492.0,51.458886,-2.596293,,,,,"[358668.0, 173492.0]","[nan, nan]","[[358668.0, 173492.0], [nan, nan]]","LINESTRING (358668 173492, NaN NaN)"
28,CA27HY,NE14LP,75.6,0.0,,338830.0,556086.0,54.895745,-2.9552949,424540.0,565083.0,54.979753,-1.6181094,"[338830.0, 556086.0]","[424540.0, 565083.0]","[[338830.0, 556086.0], [424540.0, 565083.0]]","LINESTRING (338830 556086, 424540 565083)"
29,CA27HY,,,,0.0,338830.0,556086.0,54.895745,-2.9552949,,,,,"[338830.0, 556086.0]","[nan, nan]","[[338830.0, 556086.0], [nan, nan]]","LINESTRING (338830 556086, NaN NaN)"
30,CA288JG,,,0.0,0.0,298940.0,516115.0,54.530195,-3.5631749,,,,,"[298940.0, 516115.0]","[nan, nan]","[[298940.0, 516115.0], [nan, nan]]","LINESTRING (298940 516115, NaN NaN)"
31,CB20QQ,CB20QQ,0.0,0.0,0.0,546375.0,254988.0,52.173741,0.13911444,546375.0,254988.0,52.173741,0.13911444,"[546375.0, 254988.0]","[546375.0, 254988.0]","[[546375.0, 254988.0], [546375.0, 254988.0]]","LINESTRING (546375 254988, 546375 254988)"
32,CF144XW,CF144XW,0.0,0.0,0.0,317551.0,179319.0,51.506764,-3.1893604,317551.0,179319.0,51.506764,-3.1893604,"[317551.0, 179319.0]","[317551.0, 179319.0]","[[317551.0, 179319.0], [317551.0, 179319.0]]","LINESTRING (317551 179319, 317551 179319)"
33,CF311RQ,CF144XW,28.4,0.0,,291047.0,181033.0,51.517676,-3.5716382,317551.0,179319.0,51.506764,-3.1893604,"[291047.0, 181033.0]","[317551.0, 179319.0]","[[291047.0, 181033.0], [317551.0, 179319.0]]","LINESTRING (291047 181033, 317551 179319)"
34,CF311RQ,,,,0.0,291047.0,181033.0,51.517676,-3.5716382,,,,,"[291047.0, 181033.0]","[nan, nan]","[[291047.0, 181033.0], [nan, nan]]","LINESTRING (291047 181033, NaN NaN)"
35,CF479DT,CF144XW,38.0,0.0,,304481.0,208161.0,51.763954,-3.3855045,317551.0,179319.0,51.506764,-3.1893604,"[304481.0, 208161.0]","[317551.0, 179319.0]","[[304481.0, 208161.0], [317551.0, 179319.0]]","LINESTRING (304481 208161, 317551 179319)"
36,CF479DT,,,,0.0,304481.0,208161.0,51.763954,-3.3855045,,,,,"[304481.0, 208161.0]","[nan, nan]","[[304481.0, 208161.0], [nan, nan]]","LINESTRING (304481 208161, NaN NaN)"
37,CH21UL,L97AL,42.3,0.0,,340058.0,368678.0,53.211767,-2.8990244,338020.0,397205.0,53.467918,-2.9351308,"[340058.0, 368678.0]","[338020.0, 397205.0]","[[340058.0, 368678.0], [338020.0, 397205.0]]","LINESTRING (340058 368678, 338020 397205)"
38,CH21UL,,,,0.0,340058.0,368678.0,53.211767,-2.8990244,,,,,"[340058.0, 368678.0]","[nan, nan]","[[340058.0, 368678.0], [nan, nan]]","LINESTRING (340058 368678, NaN NaN)"
39,CH495PE,L97AL,27.3,0.0,,327212.0,386557.0,53.370841,-3.0954486,338020.0,397205.0,53.467918,-2.9351308,"[327212.0, 386557.0]","[338020.0, 397205.0]","[[327212.0, 386557.0], [338020.0, 397205.0]]","LINESTRING (327212 386557, 338020 397205)"
40,CH495PE,,,,0.0,327212.0,386557.0,53.370841,-3.0954486,,,,,"[327212.0, 386557.0]","[nan, nan]","[[327212.0, 386557.0], [nan, nan]]","LINESTRING (327212 386557, NaN NaN)"
41,CM17ET,RM70AG,36.9,0.0,,570191.0,211310.0,51.774585,0.46542433,551110.0,187777.0,51.568622,0.17891397,"[570191.0, 211310.0]","[551110.0, 187777.0]","[[570191.0, 211310.0], [551110.0, 187777.0]]","LINESTRING (570191 211310, 551110 187777)"
42,CM17ET,,,,0.0,570191.0,211310.0,51.774585,0.46542433,,,,,"[570191.0, 211310.0]","[nan, nan]","[[570191.0, 211310.0], [nan, nan]]","LINESTRING (570191 211310, NaN NaN)"
43,CO45JL,RM70AG,58.4,0.0,,599526.0,227427.0,51.909629,0.89936594,551110.0,187777.0,51.568622,0.17891397,"[599526.0, 227427.0]","[551110.0, 187777.0]","[[599526.0, 227427.0], [551110.0, 187777.0]]","LINESTRING (599526 227427, 551110 187777)"
44,CO45JL,,,,0.0,599526.0,227427.0,51.909629,0.89936594,,,,,"[599526.0, 227427.0]","[nan, nan]","[[599526.0, 227427.0], [nan, nan]]","LINESTRING (599526 227427, NaN NaN)"
45,CT13NG,RM70AG,71.3,0.0,,615456.0,156464.0,51.266589,1.0870832,551110.0,187777.0,51.568622,0.17891397,"[615456.0, 156464.0]","[551110.0, 187777.0]","[[615456.0, 156464.0], [551110.0, 187777.0]]","LINESTRING (615456 156464, 551110 187777)"
46,CT13NG,,,,0.0,615456.0,156464.0,51.266589,1.0870832,,,,,"[615456.0, 156464.0]","[nan, nan]","[[615456.0, 156464.0], [nan, nan]]","LINESTRING (615456 156464, NaN NaN)"
