property,lsoa,lsoa_code,BNG_E,BNG_N,GlobalID,LAT,LONG,geometry,mRS 0-2,mRS 0-2,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,mRS shift,mRS shift,reference_admissions,reference_relative_frequency,selected,time_admitting_unit_arrival,time_admitting_unit_arrival,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_called,time_ambulance_called,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_needle,time_needle,time_puncture,time_puncture,time_transfer_unit_arrival,time_transfer_unit_arrival,unit_postcode,unit_travel_time,utility_shift,utility_shift,mRS 0-2,mRS 0-2,mRS shift,mRS shift,reference_admissions,reference_relative_frequency,selected,time_admitting_unit_arrival,time_admitting_unit_arrival,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_called,time_ambulance_called,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_needle,time_needle,time_puncture,time_puncture,time_transfer_unit_arrival,time_transfer_unit_arrival,unit_postcode,unit_travel_time,utility_shift,utility_shift
scenario,any,any,any,any,any,any,any,any,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership
subtype,,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std,mean,std,mean,std,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bath and North East Somerset 003A,E01014395,366137,166604,a2f048e7-99fe-4244-b96d-d91e94caa537,51.39744,-2.48813,"POLYGON ((366402.9523050174 167212.88416413957, 366858.76805395406 167157.2173406185, 366782.47311074944 166511.37767704646, 366485.0641191319 166536.1726320177, 366744.88892005873 165797.96134361072, 365428.73759081156 165990.28960768902, 365650.1337105376 167058.31505870406, 365794.6750968536 167369.24388218956, 366402.9523050174 167212.88416413957))",,0.0,,0.0,,0.0,,,,,1.0,0.000128485159964,1,97.6,,60.0,,30.0,,80.0,,,,,,,,BA13NG,17.6,,,0.6838828397193015,0.0,-0.5177178011662404,0.0,1.0,0.0001413227812323,1,108.4,0.0,60.0,0.0,30.0,0.0,80.0,0.0,138.4,0.0,,,,,BS105NB,28.4,0.095338637264984,0.0
8,Bath and North East Somerset 003B,E01014396,367445,168521,4c5164cc-0829-4eab-8a50-579c568e403e,51.41476,-2.4695,"POLYGON ((368042.75574463594 168728.20697629603, 367764.1747751778 168002.1959306291, 366537.0241676323 168561.71577085205, 366105.0417148273 167757.46392522845, 366001.8417096782 168031.34255409805, 365680.7850667691 167957.5446389403, 365682.17968085816 167961.65511186124, 365634.9241372993 168450.7232115029, 365777.3135248527 168888.77842652984, 365821.31919491285 168929.8379073239, 365824.370928697 168921.57204405614, 366083.84125884937 168916.0211589667, 366102.8237087799 168938.82157390006, 366493.0069540589 169263.9302424037, 366506.6456585542 169267.94526767003, 366971.3329557267 168939.12532712618, 366987.7573447945 168927.08165369096, 368042.75574463594 168728.20697629603))",-0.0362424237323147,0.2488033455953169,0.1807186335095482,0.2487485866967775,-0.0335831497013742,0.0532889881276344,0.5380007411944505,0.2132459990089005,-0.5589084742376529,0.0212278441468136,2.666666667,0.0003426270932802,1,96.5,0.0,60.0,0.0,30.0,0.0,80.0,0.0,126.5,0.0,250.2,,190.2,,BA13NG,16.5,0.1080593649681918,0.0115901181915273,0.5742431649267653,0.1281766308112314,-0.7396271077472011,0.2478411548079189,2.666666667,0.00037686075,1,105.09999999999998,0.0,60.0,0.0,30.0,0.0,80.0,0.0,135.1,0.0,135.1,0.0,,,BS105NB,25.1,0.1416425146695661,0.0520133196015558
9,Bath and North East Somerset 003C,E01014397,365993,167608,8849e21b-110a-4c18-9da0-f1c01443bc3b,51.40646,-2.49029,"POLYGON ((366105.0417148273 167757.46392522845, 366402.9523050174 167212.88416413957, 365794.6750968536 167369.24388218956, 365650.1337105376 167058.31505870406, 365596.6428885982 167042.6952078563, 365681.82233266055 167471.90514778806, 365683.87920632213 167488.3293446597, 365680.7850667691 167957.5446389403, 366001.8417096782 168031.34255409805, 366105.0417148273 167757.46392522845))",,0.1573880478866575,,0.3016654274379243,,0.0633344201693058,,,,,,,1,,,,,,,,,,,,,,,BA13NG,18.7,,,0.5730478852307475,0.1573880478866575,-0.7334527158803386,0.3016654274379243,1.333333333,0.0001884303749293,1,107.3,0.0,60.0,0.0,30.0,0.0,80.0,0.0,137.3,0.0,137.3,,,,BS105NB,27.3,0.1405428588489044,0.0633344201693058
10,Bath and North East Somerset 003D,E01014398,366924,167904,e1fa61e3-83d2-40e2-ad55-f4440028f7aa,51.40918,-2.47694,"POLYGON ((367764.1747751778 168002.1959306291, 367717.1092931637 167991.93928620114, 367067.44900535414 167672.74463420478, 366858.76805395406 167157.2173406185, 366402.9523050174 167212.88416413957, 366105.0417148273 167757.46392522845, 366537.0241676323 168561.71577085205, 367764.1747751778 168002.1959306291))",,,,,,,,,,,1.333333333,0.0001713135465758,1,97.6,,60.0,,30.0,,80.0,,,,,,,,BA13NG,17.6,,,0.4624982551380885,,-0.950512085329768,,1.333333333,0.0001884303749293,1,106.2,,60.0,,30.0,,80.0,,136.2,,136.2,,,,BS105NB,26.2,0.1860071765071636,
11,Bath and North East Somerset 004A,E01014409,375908,166838,ec12a4ff-c0b8-4f7f-b189-f19802a25073,51.40005,-2.3477,"POLYGON ((376042.2240501315 166487.4082952215, 375168.479757996 167187.66941136745, 376165.2608319951 167041.48224182957, 376346.7992051294 166897.49904924183, 376042.2240501315 166487.4082952215))",,0.1292972432998884,,0.2426468155616893,,0.0509913017897447,,,,,1.666666667,0.0002141419333162,1,95.5,0.0,60.0,0.0,30.0,0.0,80.0,0.0,,,,,,,BA13NG,15.5,,,0.6074917599511237,0.1292972432998884,-0.6485403296525257,0.2426468155616893,1.666666667,0.0002355379687676,1,112.6,0.0,60.0,0.0,30.0,0.0,80.0,0.0,142.6,0.0,142.6,,,,BS105NB,32.6,0.123171540243498,0.0509913017897447
12,Bath and North East Somerset 004B,E01014410,375313,166733,31528684-b9d0-4f30-99ec-c6682af5f2ea,51.39908,-2.35624,"POLYGON ((376042.2240501315 166487.4082952215, 375795.9011642486 166336.04923484492, 375744.83903562685 166383.61842111673, 375656.0149929041 166643.15778134175, 375256.5023304545 166262.33415810438, 375232.13999996573 166243.05896221648, 374706.9829973972 166954.43059216574, 375168.479757996 167187.66941136745, 376042.2240501315 166487.4082952215))",-0.0688892143996945,,0.3443639092714292,,-0.0638507374304934,,0.3885634500658388,,-0.5806232518656174,,2.0,0.000256970319928,1,94.4,0.0,60.0,0.0,30.0,0.0,80.0,0.0,124.4,,248.1,,188.1,,BA13NG,14.4,0.1175208391270939,,0.4574526644655334,,-0.9249871611370466,,2.0,0.0002826455624646,1,113.7,,60.0,,30.0,,80.0,,143.7,,143.7,,,,BS105NB,33.7,0.1813715765575874,
13,Bath and North East Somerset 004C,E01014411,376697,166719,6c483863-3d04-4bde-9b73-4b40d16e9756,51.39901,-2.33635,"POLYGON ((376042.2240501315 166487.4082952215, 376346.7992051294 166897.49904924183, 376165.2608319951 167041.48224182957, 376576.71581703064 167236.76405393443, 377489.9112850854 167261.66885033442, 377498.9443814781 167026.87954231212, 376462.7145786332 166149.5657291239, 375795.9011642486 166336.04923484492, 376042.2240501315 166487.4082952215))",0.0817070038787426,0.1292972432998884,0.1024478980214481,0.2426468155616893,-0.022929224540139,0.0509913017897447,0.6891987638298663,0.0,-0.5460924316310776,0.0,2.666666667,0.0003426270932802,1,95.5,0.0,60.0,0.0,30.0,0.0,80.0,0.0,125.5,0.0,,,,,BA13NG,15.5,0.1002423157033589,0.0,0.6074917599511237,0.1292972432998884,-0.6485403296525257,0.2426468155616893,2.666666667,0.00037686075,1,112.6,0.0,60.0,0.0,30.0,0.0,80.0,0.0,142.6,0.0,142.6,,,,BS105NB,32.6,0.123171540243498,0.0509913017897447
14,Bath and North East Somerset 005A,E01014477,372414,167117,735fc5db-1a6a-4051-9b41-da06b0b534b0,51.4024,-2.39794,"POLYGON ((372755.6383466601 167430.02352111, 372607.5874625935 166640.79759797832, 372401.55899171956 166651.64746542077, 372007.9027898563 167502.38297284825, 372182.18385808874 167695.0721873431, 372755.6383466601 167430.02352111))",0.0101739869001317,0.0,-0.0543156663066466,0.0,0.0093848242858726,0.0,0.6918586494967175,0.0,-0.5603335053763068,0.0,3.333333333,0.0004282838665039,1,89.0,0.0,60.0,0.0,30.0,0.0,80.0,0.0,119.0,0.0,,,,,BA13NG,9.0,0.102694817692171,0.0,0.6816846625965858,0.0,-0.5060178390696601,0.0,3.333333333,0.000471075937394,1,113.7,0.0,60.0,0.0,30.0,0.0,80.0,0.0,143.7,0.0,,,,,BS105NB,33.7,0.0933099934062984,0.0
15,Bath and North East Somerset 005B,E01014478,373090,167143,1712ff38-8e9a-444a-b97e-7d32bc06e74e,51.40266,-2.38823,"POLYGON ((373618.3961731098 166917.31299290806, 373215.2283615702 166646.54410964542, 372607.5874625935 166640.79759797832, 372755.6383466601 167430.02352111, 373162.4110501868 167583.1781472051, 373618.3961731098 166917.31299290806))",,,,,,,,,,,2.0,0.000256970319928,1,87.9,0.0,60.0,0.0,30.0,0.0,80.0,0.0,,,,,,,BA13NG,7.9,,,,,,,,,1,,,,,,,,,,,,,,,BS105NB,33.7,,
16,Bath and North East Somerset 005C,E01014479,373489,166305,cc5caded-cf07-4f54-9cde-4f8cf2fd7fc5,51.39515,-2.38243,"POLYGON ((373885.1918328645 165613.63896028663, 373770.8949791864 165648.03950688685, 373126.5045675387 166002.54800553987, 373002.7266740885 166262.40114571003, 373215.2283615702 166646.54410964542, 373618.3961731098 166917.31299290806, 373503.696597343 166285.9484544529, 373893.4166252643 166358.65245956386, 373885.1918328645 165613.63896028663))",0.0859181375431988,0.1296232554579278,0.0800684955588134,0.2411391027414358,-0.0190473309221935,0.0506937073664192,0.6923075332854607,0.0,-0.5627397448207101,0.0,4.666666667,0.0005995974132082,1,87.9,0.0,60.0,0.0,30.0,0.0,80.0,0.0,117.9,0.0,,,,,BA13NG,7.9,0.1031086348583721,0.0,0.6063893957422618,0.1296232554579278,-0.6428082403795236,0.2411391027414358,4.666666667,0.0006595063124646,1,114.8,0.0,60.0,0.0,30.0,0.0,80.0,0.0,144.8,0.0,144.8,,,,BS105NB,34.8,0.1221559657805657,0.0506937073664192
17,Bath and North East Somerset 005D,E01014480,372810,166452,579edf2c-ee18-494b-87be-60d446c09507,51.39644,-2.3922,"POLYGON ((372607.5874625935 166640.79759797832, 373215.2283615702 166646.54410964542, 373002.7266740885 166262.40114571003, 372885.51399821177 166226.30779418413, 372414.10352385254 166425.6572871877, 372401.55899171956 166651.64746542077, 372607.5874625935 166640.79759797832))",,,,,,,,,,,,,1,,,,,,,,,,,,,,,BA13NG,6.9,,,0.4581921635017894,,-0.9287247382176194,,2.333333333,0.0003297531561616,1,112.6,0.0,60.0,0.0,30.0,0.0,80.0,0.0,142.6,,142.6,,,,BS105NB,32.6,0.1820512238727752,
18,Bath and North East Somerset 006A,E01014465,375496,166284,d2434503-d041-435e-b652-c5f8378013ad,51.39505,-2.35358,"POLYGON ((375744.83903562685 166383.61842111673, 375591.5025512503 165966.3216939096, 375555.12283233803 165923.156656746, 375256.5023304545 166262.33415810438, 375656.0149929041 166643.15778134175, 375744.83903562685 166383.61842111673))",,,,,,,,,,,,,1,,,,,,,,,,,,,,,BA13NG,13.3,,,,,,,0.333333333,4.710759369700396e-05,1,113.7,,60.0,,30.0,,80.0,,,,,,,,BS105NB,33.7,,
19,Bath and North East Somerset 006B,E01014466,375305,166021,d0aec331-2828-4867-bafb-0227f8a16427,51.39268,-2.35631,"POLYGON ((375555.12283233803 165923.156656746, 375153.02775074303 165793.48894347827, 375232.13999996573 166243.05896221648, 375256.5023304545 166262.33415810438, 375555.12283233803 165923.156656746))",0.121130059481019,0.158755417335179,0.1615023474589818,0.295333879374543,-0.0357162045309621,0.062086858108848,0.6901004445073456,,-0.5509167558604982,,1.0,0.000128485159964,1,93.3,,60.0,,30.0,,80.0,,123.3,,,,,,BA13NG,13.3,0.1010737740467148,,0.5689703850263266,0.158755417335179,-0.71241910331948,0.295333879374543,1.0,0.0001413227812323,1,114.8,0.0,60.0,0.0,30.0,0.0,80.0,0.0,144.8,0.0,144.8,,,,BS105NB,34.8,0.1367899785776769,0.062086858108848
20,Bath and North East Somerset 006C,E01014467,376022,165991,0b5373fd-2704-46c1-b287-cb31254e37a9,51.39244,-2.346,"POLYGON ((375795.9011642486 166336.04923484492, 376462.7145786332 166149.5657291239, 376260.041254465 165954.55023919657, 376275.11782945675 165955.6552225118, 375912.7888926475 165622.25199768227, 375812.9503352307 165455.44973918743, 375591.5025512503 165966.3216939096, 375744.83903562685 166383.61842111673, 375795.9011642486 166336.04923484492))",-0.1424555920975427,0.2127181953717051,-0.0590796108564644,0.0234914737178327,0.0158973657180221,0.0120990072896921,0.539685966078248,0.2127181953717051,-0.5675277362264433,0.0234914737178327,2.666666667,0.0003426270932802,1,93.3,0.0,60.0,0.0,30.0,0.0,80.0,0.0,123.3,0.0,247.0,,187.0,,BA13NG,13.3,0.1096290641468815,0.0120990072896921,0.6821415581757908,,-0.5084481253699789,,2.666666667,0.00037686075,1,112.6,0.0,60.0,0.0,30.0,0.0,80.0,0.0,142.6,,,,,,BS105NB,32.6,0.0937316984288594,
21,Bath and North East Somerset 006D,E01014468,375540,165685,08621213-d0d4-4297-ab39-ba4f53c45f6b,51.38967,-2.35291,"POLYGON ((375812.9503352307 165455.44973918743, 375639.711282061 165356.65046758892, 375356.17756670405 165628.71606078895, 375337.7984548617 165653.24079220038, 375129.7996089883 165653.95158674935, 375153.02775074303 165793.48894347827, 375555.12283233803 165923.156656746, 375591.5025512503 165966.3216939096, 375812.9503352307 165455.44973918743))",-0.2910820372024089,,-0.0851966950091378,,0.0261031179480228,,0.3892714876491505,,-0.5841387165923884,,1.0,0.000128485159964,1,93.3,0.0,60.0,0.0,30.0,0.0,80.0,0.0,123.3,,247.0,,187.0,,BA13NG,13.3,0.1181843542470483,,0.6803535248515594,,-0.4989420215832505,,1.0,0.0001413227812323,1,116.9,,60.0,,30.0,,80.0,,146.9,,,,,,BS105NB,36.9,0.0920812362990255,
22,Bath and North East Somerset 007A,E01014370,375084,165047,e10a240b-ab5e-4ac6-b106-f867b2e59165,51.38391,-2.35942,"POLYGON ((375356.17756670405 165628.71606078895, 375008.54243016086 164346.28310413513, 374811.60851359356 164419.74882287375, 374825.7797663226 165017.03369066527, 375337.7984548617 165653.24079220038, 375356.17756670405 165628.71606078895))",,0.1735346042605609,,0.0198200801592143,,0.010022304911981,0.4901702430074506,0.1735346042605609,-0.57621354146573,0.0198200801592143,3.666666667,0.0004711122532442,1,92.2,0.0,60.0,0.0,30.0,0.0,80.0,0.0,122.2,0.0,245.9,0.0,185.9,0.0,BA13NG,12.2,0.1130617346451334,0.010022304911981,,,,,3.666666667,0.0005181835312323,1,116.9,0.0,60.0,0.0,30.0,0.0,80.0,0.0,,,,,,,BS105NB,36.9,,
23,Bath and North East Somerset 007B,E01014371,375328,164844,b7a30c29-be99-46d4-a540-1cc19874b439,51.3821,-2.3559,"POLYGON ((375639.711282061 165356.65046758892, 375646.7140949417 164713.84957375244, 375245.4351125285 164282.69693834824, 375008.54243016086 164346.28310413513, 375356.17756670405 165628.71606078895, 375639.711282061 165356.65046758892))",,,,,,,,,,,2.333333333,0.0002997987065398,1,91.2,,60.0,,30.0,,80.0,,,,,,,,BA13NG,11.2,,,0.6807698225220166,,-0.501154154382824,,2.333333333,0.0003297531561616,1,115.9,,60.0,,30.0,,80.0,,145.9,,,,,,BS105NB,35.9,0.0924655390378156,
24,Bath and North East Somerset 007C,E01014372,374832,165380,34e7b07b-4255-4b54-97ae-47b9b571845d,51.38689,-2.36306,"POLYGON ((375337.7984548617 165653.24079220038, 374825.7797663226 165017.03369066527, 374562.0863667829 165268.96092059993, 374658.0032330617 165511.75035725953, 374946.1052044064 165428.69911517703, 375129.7996089883 165653.95158674935, 375337.7984548617 165653.24079220038))",,,,,,,,,,,,,1,,,,,,,,,,,,,,,BA13NG,11.2,,,0.4559742319491503,,-0.9175183382021012,,1.666666667,0.0002355379687676,1,115.9,,60.0,,30.0,,80.0,,145.9,,145.9,,,,BS105NB,35.9,0.180012547011363,
25,Bath and North East Somerset 007D,E01014412,374896,166547,2045f5a6-0bab-44c4-91db-98a3306ed179,51.39739,-2.36223,"POLYGON ((374706.9829973972 166954.43059216574, 375232.13999996573 166243.05896221648, 375153.02775074303 165793.48894347827, 375129.7996089883 165653.95158674935, 374946.1052044064 165428.69911517703, 375050.7611939938 165984.80433564022, 374856.2767871783 165919.89497424243, 374882.8733980177 166637.78807361535, 374562.2066338143 167055.6599827133, 374706.9829973972 166954.43059216574))",-0.1778480058895199,0.1591351256019883,0.1188774513463052,0.2935795630409894,-0.0168899662789444,0.0617401023797672,0.3899799925239005,,-0.5876566700810124,,3.0,0.000385455479892,1,92.2,0.0,60.0,0.0,30.0,0.0,80.0,0.0,122.2,,245.9,,185.9,,BA13NG,12.2,0.1188481150839662,,0.5678279984134205,0.1591351256019883,-0.7065341214273176,0.2935795630409894,3.0,0.000423968343697,1,116.9,0.0,60.0,0.0,30.0,0.0,80.0,0.0,146.9,0.0,146.9,,,,BS105NB,36.9,0.1357380813629106,0.0617401023797672
