property,lsoa,lsoa_code,BNG_E,BNG_N,GlobalID,LAT,LONG,geometry,mRS 0-2,mRS 0-2,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,mRS shift,mRS shift,reference_admissions,reference_relative_frequency,selected,time_admitting_unit_arrival,time_admitting_unit_arrival,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_called,time_ambulance_called,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_needle,time_needle,time_puncture,time_puncture,time_transfer_unit_arrival,time_transfer_unit_arrival,unit_postcode,unit_travel_time,utility_shift,utility_shift,mRS 0-2,mRS 0-2,mRS shift,mRS shift,reference_admissions,reference_relative_frequency,selected,time_admitting_unit_arrival,time_admitting_unit_arrival,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_called,time_ambulance_called,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_needle,time_needle,time_puncture,time_puncture,time_transfer_unit_arrival,time_transfer_unit_arrival,unit_postcode,unit_travel_time,utility_shift,utility_shift
scenario,any,any,any,any,any,any,any,any,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership
subtype,,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std,mean,std,mean,std,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std
id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Cornwall 054C,E01019010,151009,40518,ad67ecd0-6b72-4c3e-986b-7aaa7e4b7c9f,50.21215,-5.49134,"POLYGON ((151471.49487766094 40799.232960818714, 151363.32289810257 40521.94101961749, 150963.28241837036 40462.23434992862, 150962.80343087084 39991.32990746852, 150956.10656174444 39990.54037325116, 150950.81335859816 39987.12639166691, 150946.67325171892 39982.94738793443, 150942.86438599945 39980.9767070697, 150937.57521289343 39973.52867697232, 150935.89270172728 39967.929828566266, 150933.30053206434 39947.88381664865, 150926.8595520141 39946.32327047587, 150915.22068049607 39947.713318349735, 150894.04048072262 39969.308616278635, 150889.4161253449 39974.083725648816, 150901.42421445635 39985.04822215371, 150881.30643538397 40001.62764731265, 150877.5002308649 40003.18620878586, 150876.53474706813 40010.3621056781, 150873.9655761731 40019.05333874456, 150854.6283954379 40029.44728037578, 150837.55592742318 40016.33911512999, 150833.98415046066 40013.59482240604, 150824.77405220972 40006.52414130268, 150820.1782533274 40002.99535074993, 150816.11496593177 39999.87525912796, 150805.03915347616 39992.85779979106, 150802.1811216755 39992.38172625337, 150797.67608644642 39992.495978285326, 150790.18593417067 39993.051569165225, 150786.11340574655 39993.35371858257, 150782.0347772687 39993.65576805489, 150774.6548257474 39994.20275758911, 150768.91318556323 39994.62262717585, 150755.73019330186 39995.58738695303, 150743.16377215687 40012.0557244597, 150744.5268579566 40022.22623029133, 150744.06361421483 40025.72857721965, 150735.82091338775 40029.66371662976, 150731.1586107501 40031.76469398665, 150725.0720343165 40036.085413739725, 150721.1019424961 40038.48568686002, 150718.48464789058 40040.0688350593, 150712.0401360729 40042.50303632967, 150703.8630135294 40050.997229051514, 150705.44006933473 40059.335810485965, 150703.57753846166 40064.281790152745, 150700.2506061561 40069.858593720186, 150695.55255550987 40075.03400784294, 150692.18257858668 40078.02728115101, 150679.93566364463 40088.986348415434, 150683.2065851956 40106.20921626044, 150680.32423293535 40116.27216794313, 150682.54947309665 40123.38592751394, 150677.90346697456 40119.4538327569, 150660.33632699904 40102.29462563008, 150650.5138696658 40092.01881372591, 150635.61833695398 40073.917466067534, 150633.81606058386 40070.315043586714, 150632.23489372354 40067.16212397063, 150627.67071596504 40058.95267792823, 150621.98327830766 40047.76750929712, 150594.49831635627 40016.350046284584, 150583.69920615005 40021.00322266095, 150558.56630712983 40045.112889635086, 150560.4189825018 40060.45054983985, 150561.0529766999 40065.696504640015, 150570.9685672519 40072.069868715655, 150576.38479626644 40088.80420562878, 150583.13130644284 40109.655076376075, 150580.88479085013 40115.73667332993, 150576.0433467805 40121.4230946101, 150519.3591166102 40106.30725034885, 150470.03824409147 40138.32967834748, 150493.30038306947 40236.06470897977, 150501.70608555817 40249.92506347076, 150510.99965855235 40270.25927751837, 150527.50769528002 40321.75714536806, 150542.6255896239 40369.52708956078, 150548.15422966768 40368.59001827135, 150601.92691756465 40359.482924610114, 150690.86997747788 40327.41909236999, 150705.5764751143 40440.34535083521, 150703.75941935743 40455.9548396802, 150705.33759647387 40471.69899254694, 150741.45209094 40544.036778661364, 150770.50790891083 40594.91651208131, 150771.61795499807 40598.2466360729, 150775.28204950073 40613.23805867566, 150815.28185252755 40604.23762399194, 150825.9110000723 40598.818448898965, 150838.71003502863 40590.28621613674, 150850.35336171338 40618.950201167056, 150849.4328968258 40632.25625616548, 150890.30163964303 40680.4468365901, 150911.19156287494 40690.19411593181, 150937.70712159225 40670.910716691986, 150952.338891143 40645.96358419562, 150981.2953529668 40599.162855108065, 150985.6423026488 40599.70661361373, 151010.93627577944 40592.76246102786, 151044.05670063937 40583.66989906787, 151044.51432959124 40568.622028299316, 151045.04552960256 40551.046928849246, 151075.9135086544 40565.91725501421, 151091.7412558677 40573.54246610723, 151082.1654082646 40594.481001943204, 151054.3917701458 40640.656014119886, 151014.69339709872 40686.819954106526, 150998.92074151014 40705.005525232, 150980.6168590905 40732.19322219383, 150938.12308718858 40783.788447424915, 150900.5451394065 40898.18630229146, 151218.08994804372 41048.037756855774, 151471.49487766094 40799.232960818714))",,,,,,,,,,,,,1,,,,,,,,,,,,,,,TR13LQ,34.8,,,,,,,,,1,,,,,,,,,,,,,,,PL68DH,101.4,,
692,Cornwall 054D,E01019011,151675,39367,333af034-c2c4-4317-87f7-803a9a23623b,50.20209,-5.48127,"POLYGON ((152005.44075695495 40139.83713366193, 152539.98545382015 39810.50806004554, 152520.0683628594 39120.299577463884, 152504.9017420749 39119.75095691258, 152733.01549951997 38775.200751051714, 152485.10226146635 38527.33974894977, 151606.1648719687 38791.09319745467, 151137.35314994218 38449.711819867225, 151129.93536893715 38453.36357133789, 151086.6232793326 38474.68005336847, 151090.28344264082 38491.62234447466, 151084.15400123817 38501.83697056639, 151109.34992806657 38514.11041015439, 151132.29711704273 38525.28926540792, 151108.45500495675 38623.91968000337, 151171.07807629334 38669.83562372532, 151239.05543600422 38703.043529035436, 151266.84831072247 38716.62167089063, 151220.4184794496 38752.24467665091, 151203.5559309181 38791.18814995518, 151195.44720165496 38812.81136216532, 151171.89275284813 38904.528566877096, 151144.6492236861 38963.51104024533, 151123.533064889 38958.3923255901, 151059.9345958812 38938.43402376774, 151003.92819615293 38919.073643188545, 150986.1895857096 38935.27278601183, 150979.2284801959 38937.60140379003, 150968.13151775938 38948.700893230794, 150903.59310510955 38931.85255595212, 150884.57723562088 38930.415070805204, 150872.7704111789 38928.550491111964, 150843.7605218494 38939.97370326746, 150828.63078692413 38938.82597420114, 150823.97950304172 38926.20406174622, 150821.33024135942 38919.01449780431, 150819.18160999956 38908.1097777886, 150801.47812919537 38885.33999203285, 150773.73836024108 38861.84432395417, 150728.03117168488 38833.90672602606, 150712.72502668865 38817.06149610478, 150661.91203476838 38780.62816070678, 150657.66234346892 38777.578774838854, 150646.873631602 38791.15828968643, 150632.48474471946 38812.43854980133, 150607.57958614203 38849.27464275225, 150575.12336930144 38886.023824493546, 150572.1220825577 38887.826185199345, 150465.83810274734 39041.05354630499, 150459.8458301072 39049.824329490075, 150457.76032558308 39055.48612598286, 150463.60314179992 39064.29146597104, 150481.58409269835 39080.44205227337, 150502.80295474504 39101.01215699766, 150528.40159496036 39128.970505391946, 150552.75923301035 39157.26367606924, 150565.7366227856 39167.061247473, 150586.68012271958 39189.59238891894, 150591.35281172805 39197.42293448924, 150597.6300632261 39202.73032891785, 150603.49061540232 39208.23023087537, 150606.8084662797 39214.63537446069, 150610.05679106765 39224.82526773971, 150617.25263124195 39229.19984001512, 150630.15728294518 39237.05799083813, 150633.7608185804 39237.490054380614, 150643.3518385467 39244.9990398486, 150647.08747308567 39251.15426994767, 150656.1431093763 39266.85435083846, 150664.57691879064 39275.40785409903, 150668.52302434185 39279.84796087377, 150670.90345601112 39286.48961214055, 150674.94435682782 39296.43678341762, 150680.67300063284 39313.97532545938, 150702.69552344223 39328.97444762173, 150721.24227891976 39324.098973474785, 150728.95607545233 39320.53224106363, 150738.09637977657 39322.60575934441, 150743.3035671843 39325.4094321866, 150752.576051257 39332.045903525024, 150759.87221779948 39338.520695986634, 150802.79909838384 39364.966313274985, 150852.10259172198 39400.73556989661, 150861.74371147604 39409.17325944835, 150904.57654595052 39444.12848369748, 150915.9769449257 39450.54172904481, 150943.15226725445 39462.80906267755, 150947.39023593473 39464.879638664745, 150957.66460341561 39469.95038112652, 150968.39358309747 39475.512324328505, 150972.6511544395 39477.71940181183, 150982.12531731027 39482.86185453148, 150995.9649582342 39490.53398751447, 150997.9685174512 39493.03479463022, 150992.79931377337 39523.701424859086, 150988.5754598418 39533.93239711193, 150986.09844804727 39540.080599894165, 150984.5564251311 39545.178079218575, 150982.75171528652 39551.14197200854, 150980.91320714576 39557.22006655243, 150978.6794674479 39561.669345953065, 150967.60333922613 39570.730482633924, 150959.3434695343 39576.16464309674, 150956.46857728483 39583.63116618022, 150956.4451378675 39587.11580846869, 150971.47243757133 39591.82099270064, 150978.67439320663 39597.504178630275, 150992.24260159454 39603.342993462924, 151007.0903031307 39608.20488191041, 151011.09055121944 39609.15804755862, 151016.4235901799 39608.99108438165, 151026.98420813007 39605.280018378835, 151039.533313675 39599.97541022953, 151043.91801428748 39598.048236580944, 151048.42265328727 39598.25708743662, 151058.65077637864 39600.69849967476, 151065.95987649733 39603.133245356265, 151071.05334740685 39604.89340827934, 151088.12783261764 39613.486716761865, 151093.6135684595 39618.75721786119, 151113.96474372648 39625.29026405106, 151120.07910169425 39625.84520076614, 151145.42602039248 39660.9255373287, 151145.84493411612 39667.18430869965, 151139.89363545386 39681.279848166974, 151121.70854274379 39723.971674629574, 151119.38056735383 39732.10699999344, 151118.70433151294 39736.05915571086, 151120.22453587677 39741.296402020846, 151121.35466488483 39748.11027194065, 151504.94527398254 40278.64561261318, 152005.44075695495 40139.83713366193))",,0.0,,0.0,,0.0,,,,,,,1,,,,,,,,,,,,,,,TR13LQ,32.6,,,0.654304076824403,0.0,-0.3617872409667071,0.0,2.333333333,0.0003297531561616,1,178.2,0.0,60.0,0.0,30.0,0.0,80.0,0.0,208.2,0.0,,,,,PL68DH,98.2,0.0679833488179614,0.0
693,Cornwall 054E,E01019012,151785,40471,28ec54fb-cefc-4e75-8307-3861a9783e76,50.21205,-5.48045,"POLYGON ((151504.94527398254 40278.64561261318, 151363.32289810257 40521.94101961749, 151471.49487766094 40799.232960818714, 152157.59947216217 41212.63294147339, 152058.79475060315 40605.22311059627, 151844.79400989535 40738.627700233075, 152005.44075695495 40139.83713366193, 151504.94527398254 40278.64561261318))",,0.1172294209141372,,0.1687353893102273,,0.0357734756488005,,,,,5.333333333,0.0006852541864319,1,114.8,,60.0,,30.0,,80.0,,,,,,,,TR13LQ,34.8,,,0.5847514092889163,0.1172294209141372,-0.455838558515113,0.1687353893102273,5.333333333,0.0007537214998586,1,180.3,0.0,60.0,0.0,30.0,0.0,80.0,0.0,210.3,0.0,210.3,0.0,,,PL68DH,100.3,0.0880860968077495,0.0357734756488005
694,Cornwall 055A,E01018869,166316,39601,861fbe21-5deb-42e1-af72-cf1e69c6b0c8,50.21016,-5.27661,"POLYGON ((167060.78134592643 38930.095982393395, 167068.88253987645 38898.24112759021, 166204.31308278532 38964.169169368164, 165972.0969544086 39298.3181066667, 165423.40736610847 39109.641659088666, 165262.16922777332 39379.1292354897, 165061.43598409306 39520.14660279994, 165465.44210803625 39980.044053785445, 165346.51298200173 39600.10762044758, 165835.0213881658 39484.195117607625, 166077.48649009987 39812.91339150752, 165775.7514038404 40071.29210722062, 166269.15922145045 40392.134496071696, 167060.78134592643 38930.095982393395))",0.0276235378098315,,-0.1460355238062529,,0.0255298396776524,,0.6870206347775829,,-0.5344524278283935,,3.333333333,0.0004282838665039,1,100.8,0.0,60.0,0.0,30.0,0.0,80.0,0.0,130.8,,,,,,TR13LQ,20.8,0.0982334702470959,,0.6593970969677514,,-0.3884169040221406,,3.333333333,0.000471075937394,1,166.4,0.0,60.0,0.0,30.0,0.0,80.0,0.0,196.4,,,,,,PL68DH,86.4,0.0727036305694435,
695,Cornwall 055B,E01018870,165707,39799,c62be40b-e7af-46e3-b25b-befd569dc779,50.21169,-5.28525,"POLYGON ((165479.0934389892 39993.69595269559, 165775.7514038404 40071.29210722062, 166077.48649009987 39812.91339150752, 165835.0213881658 39484.195117607625, 165346.51298200173 39600.10762044758, 165465.44210803625 39980.044053785445, 165479.0934389892 39993.69595269559))",,,,,,,0.6870206347775829,,-0.5344524278283935,,2.666666667,0.0003426270932802,1,100.8,,60.0,,30.0,,80.0,,130.8,,,,,,TR13LQ,20.8,0.0982334702470959,,,,,,,,1,,,,,,,,,,,,,,,PL68DH,86.4,,
696,Cornwall 055C,E01018871,164925,39317,00ceafa8-871d-462e-8eb6-fa569290438f,50.20705,-5.29589,"POLYGON ((165479.0934389892 39993.69595269559, 165465.44210803625 39980.044053785445, 165061.43598409306 39520.14660279994, 165262.16922777332 39379.1292354897, 164947.98935282833 38887.139523416176, 164367.85975071913 39152.736475168145, 164333.1096149174 39456.81335047213, 164863.40871735846 39707.491188833665, 165028.0160239069 39946.139886048215, 165354.43453136654 40108.06782727479, 165479.0934389892 39993.69595269559))",,0.1370202108590031,,0.2072941330726625,,0.0438957939478581,,,,,2.333333333,0.0002997987065398,1,100.8,,60.0,,30.0,,80.0,,,,,,,,TR13LQ,20.8,,,0.5007495788501194,0.1370202108590031,-0.6255268483855313,0.2072941330726625,2.333333333,0.0003297531561616,1,167.4,0.0,60.0,0.0,30.0,0.0,80.0,0.0,197.4,0.0,197.4,0.0,,,PL68DH,87.4,0.122991590653593,0.0438957939478581
697,Cornwall 055D,E01018872,165870,37627,c50d636e-374d-403a-aa4a-02ec10b97f7d,50.19226,-5.28163,"POLYGON ((164947.98935282833 38887.139523416176, 165410.57728874276 38235.150309884426, 165812.56647463687 38288.20103195033, 166263.39099530803 37868.02316693886, 166036.93637018543 38179.16650976977, 166402.40737020865 38439.024274272815, 165972.23586008692 38656.55336427098, 166204.31308278532 38964.169169368164, 167068.88253987645 38898.24112759021, 167734.49055342757 37076.19126438399, 166251.84878717613 36099.60546847567, 164069.57600254606 37635.547342012374, 164367.85975071913 39152.736475168145, 164947.98935282833 38887.139523416176))",0.0276407386715963,0.0,-0.1459867024227017,0.0,0.0255512170629615,0.0,0.6856602522029953,0.0,-0.52719230109543,0.0,3.666666667,0.0004711122532442,1,104.1,0.0,60.0,0.0,30.0,0.0,80.0,0.0,134.1,0.0,,,,,TR13LQ,24.1,0.0969785581024103,0.0,0.658019513531399,0.0,-0.3812055986727283,0.0,3.666666667,0.0005181835312323,1,169.6,0.0,60.0,0.0,30.0,0.0,80.0,0.0,199.6,0.0,,,,,PL68DH,89.6,0.0714273410394487,0.0
698,Cornwall 055E,E01018873,165567,38625,c292ec17-ae81-4395-b8ab-7a7a00d22097,50.2011,-5.28648,"POLYGON ((166204.31308278532 38964.169169368164, 165972.23586008692 38656.55336427098, 166402.40737020865 38439.024274272815, 166036.93637018543 38179.16650976977, 166263.39099530803 37868.02316693886, 165812.56647463687 38288.20103195033, 165410.57728874276 38235.150309884426, 164947.98935282833 38887.139523416176, 165262.16922777332 39379.1292354897, 165423.40736610847 39109.641659088666, 165972.0969544086 39298.3181066667, 166204.31308278532 38964.169169368164))",,,,,,,,,,,1.0,0.000128485159964,1,101.9,,60.0,,30.0,,80.0,,,,,,,,TR13LQ,21.9,,,,,,,,,1,,,,,,,,,,,,,,,PL68DH,88.5,,
699,Cornwall 056A,E01018827,179698,37248,520dbb0e-b851-4c0f-9560-9533ed476d0e,50.19416,-5.08798,"POLYGON ((177648.95565107788 39353.752246409276, 177776.47811149873 39126.00606652652, 178060.24979257525 39268.7106593966, 178005.49615402083 38715.19924258077, 178808.7803802998 38961.44742886213, 179093.98093710068 38826.64578291058, 179514.5822382392 38721.947268815566, 179793.3827837728 38718.45000318752, 180580.09358890567 38482.24286380995, 180732.89933390383 37837.13040816688, 181924.71040207657 36710.08682792488, 182056.31683926212 35769.76468725529, 181562.6146148203 35421.37065638884, 180408.79686435088 36112.892713280075, 180950.11050057746 35524.88364697763, 181716.09739469475 35289.141407724645, 181667.097577487 34989.43539687112, 181036.33725768374 34988.86435199942, 180598.60273637302 35699.78553017066, 180335.87116128902 35485.351183578576, 180385.59677428514 36110.793316728756, 180993.18565333667 36336.4413998379, 180875.78038720175 36983.01943057816, 180629.4374825555 37042.26593643741, 180473.45270823585 36366.1307971745, 179763.6282049932 36351.354918004974, 179593.3817549666 36644.000361975195, 178887.3753416952 36456.89362797252, 177896.37509610032 37399.213894354674, 177162.87192246414 37621.823182220076, 177148.37559791715 38002.33195161514, 177547.38487459937 38396.84168308793, 177137.9545360367 38535.469870390836, 177507.58909649216 38780.8472070166, 177610.29074631294 39483.182338356826, 177901.82905296123 39408.77580342317, 177648.95565107788 39353.752246409276))",,,,,,,,,,,1.666666667,0.0002141419333162,1,99.8,,60.0,,30.0,,80.0,,,,,,,,TR13LQ,19.8,,,,,,,1.666666667,0.0002355379687676,1,161.0,,60.0,,30.0,,80.0,,,,,,,,PL68DH,81.0,,
700,Cornwall 056B,E01018828,179885,35271,960b6be8-d58e-4d02-b5b7-8e18b0c4dcc4,50.17647,-5.08422,"POLYGON ((181716.09739469475 35289.141407724645, 182057.61778893185 35372.95974456097, 182700.62731615218 34902.33979761452, 181802.92483834838 33496.62893998195, 180878.90900007208 33586.74341690875, 180517.1038159939 34240.450784799235, 179799.7922427549 34211.646413452545, 179321.38177932156 34636.25557333691, 178837.16911348738 35514.17006472149, 179763.6282049932 36351.354918004974, 180473.45270823585 36366.1307971745, 180629.4374825555 37042.26593643741, 180875.78038720175 36983.01943057816, 180993.18565333667 36336.4413998379, 180385.59677428514 36110.793316728756, 180335.87116128902 35485.351183578576, 180598.60273637302 35699.78553017066, 181036.33725768374 34988.86435199942, 181667.097577487 34989.43539687112, 181716.09739469475 35289.141407724645))",-0.0671060136169233,,0.3336021751342919,,-0.0629217005077954,,0.3559224908807211,,-0.4185338281148558,,1.333333333,0.0001713135465758,1,104.1,,60.0,,30.0,,80.0,,134.1,,299.7,,239.7,,TR13LQ,24.1,0.0866985572292645,,0.4230285044976445,,-0.7521360032491478,,1.333333333,0.0001884303749293,1,165.3,,60.0,,30.0,,80.0,,195.3,,195.3,,,,PL68DH,85.3,0.1496202577370599,
701,Cornwall 056C,E01018829,174602,40811,d10f5a46-92b5-489b-bbdb-caa4e5b89c86,50.22424,-5.16138,"POLYGON ((174695.50664795437 42961.15095715047, 177406.80382843016 41290.10688895383, 176812.88563394948 40337.7939961197, 176567.29098064362 40604.16930254773, 175988.57508207197 39959.893309955136, 175725.23550799114 39919.18956927527, 175704.92092372943 40224.322391811496, 175658.91354141734 39804.8313586367, 175170.35917163035 39884.170641596866, 175258.7091406124 39385.702688761114, 176450.6718447869 39546.47531412891, 175197.65204075145 38854.27430743404, 174086.9275819151 38231.97116344015, 172804.31547988788 38293.799620733625, 172598.30499919012 37884.30532542107, 171787.10729610035 38439.22413123399, 173085.03278257136 39517.71601046165, 172956.4435962434 40747.34533591996, 173727.14624144376 41137.75432071704, 173605.34879670382 41429.45751211993, 173863.55634190462 41517.76102639697, 173338.45733090592 41827.27097421247, 173537.7569645679 42628.67780481529, 172920.83801062527 43153.79405518476, 173024.24503268296 43623.301585693436, 174695.50664795437 42961.15095715047))",0.1532052644910783,0.189718717954217,0.2582519057943542,0.0599465571932766,-0.0555951536338712,0.0052747341735205,0.5783505087030099,0.189718717954217,-0.5044573348005987,0.0599465571932766,2.666666667,0.0003426270932802,1,98.7,0.0,60.0,0.0,30.0,0.0,80.0,0.0,128.7,0.0,294.3,,234.3,,TR13LQ,18.7,0.0959850357981097,0.0052747341735205,0.4251452442119315,,-0.7627092405949529,,2.666666667,0.00037686075,1,162.1,,60.0,,30.0,,80.0,,192.1,,192.1,,,,PL68DH,82.1,0.151580189431981,
702,Cornwall 056D,E01018830,177485,40011,ec63ed75-59bb-4b3f-a6da-06936f53f76d,50.21814,-5.12056,"POLYGON ((178436.48956847622 40799.59045889447, 179015.88462869124 39257.15086837404, 179157.58206883646 38927.94968523685, 179417.08280713894 38789.647864198865, 179793.3827837728 38718.45000318752, 179514.5822382392 38721.947268815566, 179093.98093710068 38826.64578291058, 178808.7803802998 38961.44742886213, 178005.49615402083 38715.19924258077, 178060.24979257525 39268.7106593966, 177776.47811149873 39126.00606652652, 177648.95565107788 39353.752246409276, 177901.82905296123 39408.77580342317, 177610.29074631294 39483.182338356826, 177507.58909649216 38780.8472070166, 177137.9545360367 38535.469870390836, 177547.38487459937 38396.84168308793, 177148.37559791715 38002.33195161514, 176251.6585490273 37642.93993785992, 175491.9523403171 37995.65677690224, 175574.45080294833 38465.5611917112, 175197.65204075145 38854.27430743404, 176450.6718447869 39546.47531412891, 175258.7091406124 39385.702688761114, 175170.35917163035 39884.170641596866, 175658.91354141734 39804.8313586367, 175704.92092372943 40224.322391811496, 175725.23550799114 39919.18956927527, 175988.57508207197 39959.893309955136, 176567.29098064362 40604.16930254773, 176812.88563394948 40337.7939961197, 177406.80382843016 41290.10688895383, 178436.48956847622 40799.59045889447))",0.2610057170165775,,0.2321503717362061,,-0.0541555105417174,,0.6883367266385902,,-0.5414833481997912,,2.666666667,0.0003426270932802,1,97.6,0.0,60.0,0.0,30.0,0.0,80.0,0.0,127.6,,,,,,TR13LQ,17.6,0.0994473354212611,,0.4273310096220127,,-0.7736337199359973,,2.666666667,0.00037686075,1,158.8,0.0,60.0,0.0,30.0,0.0,80.0,0.0,188.8,,188.8,,,,PL68DH,78.8,0.1536028459629786,
703,Cornwall 057A,E01018978,157869,36575,d6fb0fe8-2c0a-4542-af87-c3e2ff12b4e5,50.17959,-5.39285,"POLYGON ((158912.2125807953 38606.75342213738, 159057.5470751657 38159.01708779283, 158611.41384807436 36866.01232071209, 158953.40338998954 36134.20076171236, 158340.59505850193 35448.106912159536, 158482.2945820328 34896.395393493585, 157691.19216710876 35177.30844456371, 157591.99451061236 35755.822016210936, 156034.11535218262 36200.32598920577, 156328.30102316063 36397.15493751812, 157232.47185075068 37038.31430504011, 157542.8734511483 37818.12597851368, 157993.20274016153 38266.15313603301, 156609.6088923692 39031.45263812403, 156286.93508768536 39450.42734362441, 156911.2340942287 40050.059787094855, 157521.82714926623 39069.44465354929, 158644.37722068618 39737.77709184235, 159693.36879054236 39529.12642750915, 159232.6341845577 39286.48511102426, 159600.711220782 39011.02373434097, 159239.44533397537 38859.62541274211, 159055.5515924582 39128.58964635446, 158912.2125807953 38606.75342213738))",0.0280717819903059,0.0,-0.148241816354087,0.0,0.025950636729819,0.0,0.6856602522029953,0.0,-0.52719230109543,0.0,1.666666667,0.0002141419333162,1,104.1,0.0,60.0,0.0,30.0,0.0,80.0,0.0,134.1,0.0,,,,,TR13LQ,24.1,0.0969785581024103,0.0,0.6575884702126894,0.0,-0.3789504847413429,0.0,1.666666667,0.0002355379687676,1,170.6,0.0,60.0,0.0,30.0,0.0,80.0,0.0,200.6,0.0,,,,,PL68DH,90.6,0.0710279213725912,0.0
704,Cornwall 057B,E01018981,157235,38216,c45e91e4-250e-42b6-b2ff-6b37caa81a46,50.19407,-5.40276,"POLYGON ((157542.8734511483 37818.12597851368, 156900.8714315371 37719.39821381561, 156994.20586298656 38029.94149499186, 156788.07041911918 37963.88822288098, 156524.8681614851 38310.578025438794, 156909.40936326125 38323.78443305846, 156609.6088923692 39031.45263812403, 157993.20274016153 38266.15313603301, 157542.8734511483 37818.12597851368))",-0.0378757702741489,0.1474632098130412,-0.1265101217579722,0.0485935463831776,0.0238946365551898,0.0045973561522222,0.6197126999385405,0.1474632098130412,-0.5054606064993152,0.0485935463831776,5.333333333,0.0006852541864319,1,104.1,0.0,60.0,0.0,30.0,0.0,80.0,0.0,134.1,0.0,299.7,,239.7,,TR13LQ,24.1,0.0949225579277811,0.0045973561522222,0.6575884702126894,0.0,-0.3789504847413429,0.0,5.333333333,0.0007537214998586,1,170.6,0.0,60.0,0.0,30.0,0.0,80.0,0.0,200.6,0.0,,,,,PL68DH,90.6,0.0710279213725912,0.0
705,Cornwall 057C,E01018982,155967,38554,064d5a56-6977-40f2-8a8b-6355fb70f77b,50.19658,-5.42071,"POLYGON ((156609.6088923692 39031.45263812403, 156909.40936326125 38323.78443305846, 156524.8681614851 38310.578025438794, 156788.07041911918 37963.88822288098, 156994.20586298656 38029.94149499186, 156900.8714315371 37719.39821381561, 156022.6874036495 37387.671430688, 155784.63138352474 37634.3495760184, 154966.3749856956 38100.14136807999, 156286.93508768536 39450.42734362441, 156609.6088923692 39031.45263812403))",0.2664438180515527,0.0,0.2060592102261773,0.0,-0.0491071329170431,0.0,0.6852473833807909,0.0,-0.5249903715802715,0.0,2.333333333,0.0002997987065398,1,105.09999999999998,0.0,60.0,0.0,30.0,0.0,80.0,0.0,135.1,0.0,,,,,TR13LQ,25.1,0.0965976585594596,0.0,0.4188035653292382,0.0,-0.7310495818064489,0.0,2.333333333,0.0003297531561616,1,171.7,0.0,60.0,0.0,30.0,0.0,80.0,0.0,201.7,0.0,201.7,0.0,,,PL68DH,91.7,0.1457047914765028,0.0
706,Cornwall 057D,E01018983,155474,36895,d188bc06-5be1-4413-b8f7-5c0b177dd33f,50.18148,-5.42654,"POLYGON ((155784.63138352474 37634.3495760184, 156022.6874036495 37387.671430688, 155791.2721934382 36878.141513798066, 156328.30102316063 36397.15493751812, 156034.11535218262 36200.32598920577, 155172.9600290057 36182.23536414889, 155129.45986394075 36610.02998299763, 155133.3608008116 36641.134158325964, 155001.7643867766 37134.73726403917, 155325.57319749464 37452.43846644825, 154998.57411607302 37932.74122213799, 155833.5784360165 37223.43918337859, 155784.63138352474 37634.3495760184))",-0.2226225742579026,0.1378771495350008,0.0802777489363633,0.2034099824806851,-0.0097836691853314,0.0431005640191314,0.3539382003045671,0.0,-0.4086643576472033,0.0,6.333333333,0.0008137393463959,1,107.3,0.0,60.0,0.0,30.0,0.0,80.0,0.0,137.3,0.0,302.9,0.0,242.9,0.0,TR13LQ,27.3,0.084808336848566,0.0,0.5765607745624698,0.1378771495350008,-0.4889421065835666,0.2034099824806851,6.333333333,0.000895044281091,1,173.9,0.0,60.0,0.0,30.0,0.0,80.0,0.0,203.9,0.0,203.9,,,,PL68DH,93.9,0.0945920060338975,0.0431005640191314
