Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
DN157BH,DN157BH,SE 88341 10921,488341,410921,53.58744,-0.66693886
S602UD,S602UD,SK 43795 91046,443795,391046,53.414411,-1.3425728
S102JF,S102JF,SK 33794 86966,433794,386966,53.378472,-1.4934651
YO318HE,YO318HE,SE 60208 53108,460208,453108,53.970547,-1.0836401
KT160PZ,KT160PZ,TQ 02628 65256,502628,165256,51.377091,-0.52683986
RH164EX,RH164EX,TQ 34069 23045,534069,123045,50.991198,-0.091075995
BN25BE,BN25BE,TQ 32654 03901,532654,103901,50.819468,-0.11817668
DA28DA,DA28DA,TQ 57060 73092,557060,173092,51.435061,0.25816101
CT13NG,CT13NG,TR 15456 56464,615456,156464,51.266589,1.0870832
CT94AN,CT94AN,TR 35967 69786,635967,169786,51.378053,1.3893845
TN240LZ,TN240LZ,TR 04090 42068,604090,142068,51.141489,0.91620878
BN212UD,BN212UD,TQ 60184 01058,560184,101058,50.786969,0.27110748
KT187EG,KT187EG,TQ 20402 59851,520402,159851,51.325026,-0.27340744
GU167UJ,GU167UJ,SU 87794 58592,487794,158592,51.31967,-0.74155505
ME169QQ,ME169QQ,TQ 73362 55654,573362,155654,51.273662,0.48397392
TN24QJ,TN24QJ,TQ 61472 41407,561472,141407,51.149149,0.30726198
ME75NY,ME75NY,TQ 77021 67424,577021,167424,51.378267,0.54221759
GU27XX,GU27XX,SU 97304 50015,497304,150015,51.241025,-0.60746234
RH15RH,RH15RH,TQ 28510 48207,528510,148207,51.218607,-0.16128808
PO196SE,PO196SE,SU 86835 05616,486835,105616,50.843562,-0.7680267
BN112DH,BN112DH,TQ 15323 03187,515323,103187,50.816758,-0.36432126
GL13NN,GL13NN,SO 83992 18638,383992,218638,51.866088,-2.2338867
SN36BB,SN36BB,SU 18983 82175,418983,182175,51.538161,-1.7276925
BS105NB,BS105NB,ST 58935 77766,358935,177766,51.497333,-2.5929485
EX314JB,EX314JB,SS 56457 34545,256457,134545,51.092201,-4.0511326
PL68DH,PL68DH,SX 49930 59564,249930,59564,50.41672,-4.1136845
