from_postcode,B152TH,B714HJ,B95SS,BA13NG,BA214AT,BB23HH,BD96RJ,BH77DW,BL97TD,BN112DH,BN212UD,BN25BE,BR68ND,BS105NB,BS234TQ,BS28HW,CA27HY,CB20QQ,CF144XW,CF311RQ,CF479DT,CH21UL,CH495PE,CM17ET,CO45JL,CT13NG,CT94AN,CV107DJ,CV22DX,CV345BW,CW14QJ,DA28DA,DE223NE,DH15TW,DN157BH,DN25LT,DT12JY,DY12HQ,E11BB,EX25DW,EX314JB,FY38NR,GL13NN,GU167UJ,HA13UJ,HP112TT,HR12ER,HU32JZ,HX30PW,IP332QZ,IP45PD,KT160PZ,KT187EG,L355DR,L78XP,L97AL,LA144LF,LA14RP,LE15WW,LL137TD,LL185UJ,LL572PW,LN25QY,LS13EX,LU40DZ,M68HD,ME169QQ,MK429DJ,MK65LD,NE14LP,NE236NZ,NG174JL,NG72UH,NN15BD,NP448YN,NR316LA,NR47UY,NW12BU,OX39DU,PE304ET,PE39GZ,PL68DH,PO196SE,PO305TG,PO63LY,PR29HT,PR86PN,RG15AN,RH15RH,RH164EX,RM70AG,S102JF,S445BL,S752EP,SA148QF,SA312AF,SA612PZ,SA66NL,SE59RW,SG14AB,SK27JE,SL24HL,SN36BB,SO166YD,SO225DG,SP28BJ,SR47TP,SS00RY,SS165NL,ST46QG,SW170QT,SW66SX,SY231ER,TA15DA,TF16TF,TN240LZ,TQ27AA,TR13LQ,TS198PE,TS43BW,WD180HB,WF14DG,WR51DD,WV100QP,YO318HE
BN212UD,192.7,200.2,191.6,180.9,183.0,293.6,280.7,129.3,282.9,47.7,0.0,40.2,78.8,181.9,204.5,180.9,371.0,134.7,212.0,227.0,236.7,279.7,285.0,112.1,134.7,99.2,122.9,183.0,178.7,168.0,246.4,78.8,212.0,338.7,267.9,247.4,157.2,200.2,99.2,222.7,259.3,307.6,179.8,96.0,107.8,107.8,223.8,287.2,282.9,161.5,155.1,83.1,76.7,273.2,281.8,279.7,354.8,309.7,184.1,267.9,306.5,340.9,243.2,271.1,120.7,274.3,73.5,142.2,137.9,352.7,362.4,219.5,208.8,151.9,202.3,221.7,193.8,106.8,131.5,187.3,174.4,266.8,67.0,172.3,86.4,291.5,292.6,108.9,65.9,43.4,97.1,244.2,228.1,250.7,258.2,275.4,306.5,249.6,93.9,128.2,273.2,99.2,142.2,105.7,110.0,126.1,347.3,108.9,96.0,231.3,89.6,97.1,317.3,210.9,222.7,76.7,241.0,320.5,331.2,326.9,112.1,262.5,198.0,206.6,288.3
BN25BE,177.6,185.2,176.6,165.8,165.8,278.6,265.7,113.2,267.9,31.6,40.2,0.0,71.3,166.9,189.5,165.8,355.9,127.2,197.0,212.0,221.7,264.6,270.0,104.6,127.2,106.8,125.0,168.0,163.7,152.9,232.4,72.4,197.0,323.7,252.8,232.4,141.1,185.2,91.7,206.6,243.2,292.6,164.8,81.0,92.8,92.8,208.8,272.2,267.9,154.0,147.6,68.1,61.6,258.2,266.8,264.6,339.8,294.7,169.0,252.8,291.5,325.9,228.1,256.0,105.7,259.3,76.7,127.2,122.9,337.7,347.3,204.5,193.8,136.8,187.3,214.2,186.2,91.7,116.4,179.8,166.9,250.7,50.9,156.2,69.2,276.4,277.5,93.9,50.9,36.9,89.6,229.2,213.1,235.6,243.2,260.3,291.5,234.6,78.8,113.2,258.2,84.2,127.2,89.6,93.9,110.0,332.3,101.4,88.5,216.3,74.5,82.1,302.2,193.8,207.7,94.9,224.9,303.3,316.2,311.9,97.1,247.4,183.0,191.6,273.2
BR68ND,161.5,160.5,152.9,149.7,163.7,253.9,237.8,129.3,243.2,76.7,87.4,72.4,0.0,150.8,173.3,148.6,331.2,81.0,180.9,195.9,205.6,239.9,245.3,57.4,79.9,65.9,84.2,140.0,135.8,135.8,207.7,25.1,168.0,295.8,213.1,203.4,158.3,170.1,36.9,220.6,244.2,267.9,148.6,64.9,60.6,76.7,192.7,229.2,238.9,106.8,101.4,52.0,45.5,233.5,242.1,241.0,315.1,270.0,141.1,228.1,266.8,301.2,184.1,228.1,77.8,234.6,36.9,99.2,93.9,309.7,318.3,176.6,164.8,107.8,171.2,166.9,140.0,47.7,100.3,132.5,119.6,265.7,91.7,187.3,100.3,251.7,252.8,77.8,41.2,60.6,43.4,201.3,185.2,206.6,227.0,243.2,275.4,218.5,34.8,74.5,233.5,68.1,111.1,106.8,97.1,127.2,304.4,55.2,41.2,191.6,34.8,42.3,282.9,194.8,184.1,55.2,239.9,318.3,288.3,282.9,72.4,218.5,166.9,166.9,244.2
BS105NB,90.6,89.6,98.2,33.7,76.7,187.3,206.6,134.7,176.6,163.7,180.9,165.8,148.6,0.0,38.0,18.7,264.6,170.1,49.8,64.9,74.5,173.3,178.7,169.0,191.6,184.1,202.3,108.9,111.1,92.8,141.1,148.6,132.5,271.1,200.2,179.8,103.5,90.6,137.9,86.4,108.9,201.3,44.5,102.5,118.6,103.5,77.8,219.5,195.9,200.2,213.1,106.8,121.8,166.9,175.5,174.4,248.5,203.4,127.2,162.6,200.2,235.6,186.2,203.4,131.5,168.0,154.0,140.0,122.9,285.0,294.7,151.9,141.1,128.2,40.2,260.3,232.4,129.3,90.6,209.9,171.2,130.4,140.0,210.9,123.9,185.2,186.2,85.3,130.4,154.0,155.1,176.6,160.5,183.0,96.0,113.2,144.3,87.4,133.6,139.0,166.9,102.5,48.8,111.1,99.2,85.3,280.7,173.3,161.5,125.0,134.7,119.6,155.1,60.6,117.5,172.3,104.6,183.0,263.6,259.3,122.9,194.8,65.9,100.3,220.6
BS234TQ,111.1,110.0,118.6,59.5,61.6,207.7,226.0,123.9,197.0,188.4,205.6,190.5,173.3,43.4,0.0,42.3,285.0,194.8,63.8,78.8,89.6,193.8,199.1,193.8,216.3,207.7,227.0,128.2,130.4,112.1,160.5,173.3,152.9,291.5,220.6,200.2,83.1,111.1,162.6,64.9,88.5,221.7,63.8,127.2,142.2,128.2,91.7,239.9,215.2,224.9,237.8,131.5,145.4,187.3,194.8,193.8,268.9,223.8,147.6,181.9,220.6,255.0,206.6,223.8,156.2,187.3,177.6,164.8,147.6,305.4,315.1,172.3,161.5,152.9,54.1,285.0,257.1,154.0,112.1,230.3,191.6,110.0,164.8,235.6,148.6,205.6,205.6,110.0,155.1,178.7,178.7,197.0,180.9,203.4,110.0,127.2,159.4,102.5,158.3,163.7,187.3,127.2,72.4,135.8,123.9,100.3,300.1,198.0,186.2,145.4,158.3,144.3,170.1,39.1,136.8,195.9,83.1,162.6,284.0,279.7,147.6,215.2,85.3,120.7,241.0
BS28HW,91.7,90.6,99.2,27.3,67.0,189.5,207.7,134.7,177.6,163.7,180.9,165.8,148.6,16.5,43.4,0.0,265.7,170.1,50.9,65.9,76.7,174.4,179.8,169.0,192.7,184.1,202.3,110.0,112.1,93.9,142.2,148.6,133.6,273.2,201.3,180.9,90.6,91.7,139.0,91.7,115.3,203.4,45.5,102.5,118.6,103.5,78.8,221.7,197.0,200.2,213.1,107.8,121.8,169.0,176.6,175.5,249.6,205.6,128.2,163.7,201.3,236.7,188.4,205.6,131.5,169.0,154.0,141.1,122.9,286.1,295.8,154.0,142.2,128.2,41.2,260.3,233.5,129.3,90.6,210.9,172.3,135.8,141.1,210.9,123.9,187.3,187.3,86.4,130.4,154.0,155.1,177.6,162.6,184.1,97.1,114.3,146.5,89.6,133.6,139.0,168.0,103.5,48.8,111.1,99.2,85.3,281.8,174.4,161.5,127.2,134.7,120.7,157.2,65.9,118.6,172.3,110.0,189.5,264.6,260.3,122.9,195.9,67.0,101.4,221.7
CA27HY,193.8,187.3,193.8,281.8,329.1,105.7,125.0,351.6,123.9,354.8,372.0,357.0,331.2,266.8,285.0,265.7,0.0,279.7,291.5,306.5,289.3,146.5,142.2,323.7,334.4,360.2,378.5,207.7,209.9,218.5,146.5,317.3,188.4,90.6,171.2,155.1,350.6,192.7,308.7,332.3,355.9,106.8,235.6,306.5,290.4,275.4,246.4,178.7,142.2,305.4,335.5,297.9,311.9,126.1,132.5,123.9,97.1,77.8,222.7,157.2,173.3,207.7,195.9,142.2,262.5,119.6,337.7,262.5,250.7,75.6,81.0,184.1,197.0,239.9,280.7,329.1,299.0,300.1,260.3,257.1,239.9,377.4,357.0,427.9,340.9,90.6,125.0,295.8,321.6,345.2,310.8,170.1,177.6,152.9,329.1,302.2,338.7,320.5,311.9,284.0,133.6,289.3,265.7,328.0,316.2,319.4,89.6,329.1,316.2,154.0,319.4,306.5,252.8,306.5,195.9,354.8,350.6,430.0,111.1,114.3,281.8,145.4,210.9,185.2,132.5
CB20QQ,122.9,119.6,112.1,170.1,193.8,213.1,180.9,159.4,201.3,131.5,142.2,127.2,79.9,171.2,193.8,170.1,279.7,0.0,201.3,216.3,215.2,199.1,204.5,58.4,71.3,107.8,127.2,98.2,94.9,106.8,165.8,65.9,127.2,232.4,148.6,140.0,188.4,129.3,64.9,242.1,264.6,227.0,161.5,94.9,72.4,84.2,172.3,164.8,181.9,45.5,75.6,86.4,215.2,192.7,201.3,199.1,274.3,229.2,91.7,187.3,226.0,260.3,119.6,171.2,61.6,192.7,86.4,47.7,61.6,245.3,255.0,127.2,114.3,72.4,191.6,105.7,78.8,76.7,107.8,64.9,56.3,286.1,146.5,411.8,143.3,210.9,212.0,99.2,96.0,115.3,59.5,151.9,144.3,154.0,247.4,264.6,296.9,239.9,78.8,38.0,192.7,78.8,131.5,135.8,127.2,156.2,241.0,76.7,64.9,150.8,87.4,86.4,242.1,216.3,142.2,275.4,260.3,338.7,612.6,219.5,65.9,164.8,136.8,126.1,180.9
CF144XW,116.4,115.3,123.9,65.9,107.8,213.1,232.4,165.8,202.3,194.8,212.0,197.0,179.8,50.9,63.8,50.9,290.4,201.3,0.0,29.4,38.0,199.1,204.5,200.2,222.7,214.2,233.5,134.7,136.8,118.6,166.9,179.8,158.3,296.9,226.0,205.6,129.3,116.4,169.0,111.1,134.7,227.0,70.2,133.6,148.6,134.7,71.3,245.3,221.7,231.3,244.2,137.9,151.9,192.7,201.3,200.2,274.3,229.2,152.9,164.8,226.0,217.4,212.0,229.2,162.6,193.8,184.1,171.2,154.0,310.8,320.5,177.6,166.9,159.4,26.2,291.5,263.6,160.5,118.6,235.6,197.0,156.2,171.2,242.1,155.1,210.9,212.0,116.4,161.5,185.2,185.2,202.3,186.2,208.8,60.6,76.7,108.9,52.0,164.8,170.1,192.7,133.6,78.8,142.2,130.4,116.4,306.5,204.5,192.7,150.8,165.8,150.8,135.8,85.3,143.3,202.3,130.4,208.8,289.3,285.0,154.0,220.6,90.6,126.1,246.4
CF311RQ,132.5,131.5,140.0,82.1,123.9,229.2,247.4,181.9,218.5,210.9,227.0,213.1,195.9,67.0,79.9,67.0,306.5,217.4,28.4,0.0,48.8,215.2,220.6,216.3,238.9,230.3,248.5,149.7,151.9,134.7,181.9,195.9,174.4,313.0,242.1,221.7,145.4,132.5,185.2,127.2,150.8,243.2,86.4,149.7,164.8,150.8,87.4,261.4,236.7,246.4,259.3,154.0,168.0,208.8,217.4,215.2,290.4,245.3,169.0,180.9,242.1,227.0,228.1,245.3,178.7,208.8,200.2,187.3,169.0,326.9,336.6,193.8,183.0,175.5,42.3,307.6,279.7,176.6,134.7,251.7,213.1,171.2,187.3,258.2,171.2,227.0,228.1,132.5,177.6,200.2,201.3,218.5,202.3,224.9,41.2,58.4,90.6,33.7,179.8,186.2,208.8,149.7,94.9,158.3,145.4,132.5,321.6,220.6,207.7,166.9,180.9,166.9,121.8,101.4,158.3,218.5,145.4,224.9,305.4,301.2,170.1,236.7,106.8,142.2,262.5
