property,,transfer_unit_travel_time,selected,selected
scenario,,any,drip-and-ship,mothership
postcode,transfer_unit_postcode,,,
TA15DA,BS105NB,65.9,1,
TA15DA,,,,0
TF16TF,B152TH,46.6,0,
TF16TF,,,,0
TN240LZ,,,0,0
TN24QJ,,,0,0
TQ27AA,PL68DH,52.0,1,
TQ27AA,,,,0
TR13LQ,PL68DH,75.6,1,
TR13LQ,,,,0
TS198PE,TS43BW,21.9,0,
TS198PE,,,,0
TS43BW,TS43BW,0.0,0,0
WA51QG,,,0,0
WD180HB,NW12BU,34.8,0,
WD180HB,,,,0
WF14DG,LS13EX,24.1,0,
WF14DG,,,,0
WR51DD,B152TH,35.9,0,
WR51DD,,,,0
WS29PS,,,0,0
WV100QP,B152TH,29.4,0,
WV100QP,,,,0
YO318HE,LS13EX,44.5,0,
YO318HE,,,,0
