property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,utility_shift,utility_shift,mRS shift,mRS shift,mRS 0-2,mRS 0-2
scenario,,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std,mean,std,mean,std
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 003B,E01014396,16.5,BA13NG,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,96.5,0,126.5,0,190.2,,250.2,,-0.5589084742376529,0.021227844146813665,0.10805936496819188,0.011590118191527365,0.5380007411944505,0.2132459990089005,2.666666667,0.0003426270932802261,25.1,BS105NB,1,2.666666667,0.00037686075,30,0,60,0,80,0,105.09999999999998,0,135.1,0,,,135.1,0.0,-0.7396271077472011,0.24784115480791896,0.1416425146695661,0.0520133196015558,0.5742431649267653,0.1281766308112314,2.666666667,0.00037686075,-0.033583149701374215,0.05328898812763442,0.1807186335095482,0.24874858669677755,-0.03624242373231479,0.24880334559531692
Bath and North East Somerset 003C,E01014397,18.7,BA13NG,1,1.333333333,0.00017131354657587048,,,,,,,,,,,,,,,,,,,,,,,27.3,BS105NB,1,1.333333333,0.0001884303749293386,30,0,60,0,80,0,107.3,0,137.3,0,,,137.3,,-0.7334527158803386,0.30166542743792435,0.1405428588489044,0.06333442016930582,0.5730478852307475,0.1573880478866575,1.333333333,0.0001884303749293386,,0.06333442016930582,,0.30166542743792435,,0.1573880478866575
Bath and North East Somerset 003D,E01014398,17.6,BA13NG,1,1.333333333,0.00017131354657587048,30,,60,,80,,97.6,,,,,,,,,,,,,,1.333333333,0.00017131354657587048,26.2,BS105NB,1,1.333333333,0.0001884303749293386,30,,60,,80,,106.2,,136.2,,,,136.2,,-0.9505120853297679,,0.18600717650716364,,0.46249825513808857,,1.333333333,0.0001884303749293386,,,,,,
Bath and North East Somerset 004A,E01014409,15.5,BA13NG,1,1.666666667,0.000214141933316202,30,0,60,0,80,0,95.5,0,,,,,,,,,,,,,1.666666667,0.000214141933316202,32.6,BS105NB,1,1.666666667,0.00023553796876766536,30,0,60,0,80,0,112.6,0,142.6,0,,,142.6,,-0.6485403296525257,0.24264681556168938,0.12317154024349802,0.050991301789744786,0.6074917599511237,0.12929724329988845,1.666666667,0.00023553796876766536,,0.050991301789744786,,0.24264681556168938,,0.12929724329988845
Bath and North East Somerset 004B,E01014410,14.4,BA13NG,1,2.0,0.00025697031992804833,30,0,60,0,80,0,94.4,0,124.4,,188.1,,248.1,,-0.5806232518656174,,0.11752083912709399,,0.3885634500658388,,2.0,0.00025697031992804833,33.7,BS105NB,1,2.0,0.0002826455624646693,30,,60,,80,,113.7,,143.7,,,,143.7,,-0.9249871611370466,,0.18137157655758746,,0.4574526644655334,,2.0,0.0002826455624646693,-0.06385073743049346,,0.34436390927142924,,-0.06888921439969459,
Bath and North East Somerset 004C,E01014411,15.5,BA13NG,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,95.5,0,125.5,0,,,,,-0.5460924316310776,0.0,0.10024231570335895,0.0,0.6891987638298663,0.0,2.666666667,0.0003426270932802261,32.6,BS105NB,1,2.666666667,0.00037686075,30,0,60,0,80,0,112.6,0,142.6,0,,,142.6,,-0.6485403296525257,0.24264681556168938,0.12317154024349802,0.050991301789744786,0.6074917599511237,0.12929724329988845,2.666666667,0.00037686075,-0.02292922454013907,0.050991301789744786,0.10244789802144816,0.24264681556168938,0.08170700387874263,0.12929724329988845
Bath and North East Somerset 005A,E01014477,9.0,BA13NG,1,3.333333333,0.0004282838665039188,30,0,60,0,80,0,89.0,0,119.0,0,,,,,-0.5603335053763068,0.0,0.10269481769217104,0.0,0.6918586494967175,0.0,3.333333333,0.0004282838665039188,33.7,BS105NB,1,3.333333333,0.00047107593739400795,30,0,60,0,80,0,113.7,0,143.7,0,,,,,-0.5060178390696601,0.0,0.09330999340629842,0.0,0.6816846625965858,0.0,3.333333333,0.00047107593739400795,0.009384824285872617,0.0,-0.05431566630664664,0.0,0.010173986900131715,0.0
Bath and North East Somerset 005B,E01014478,7.9,BA13NG,1,2.0,0.00025697031992804833,30,0,60,0,80,0,87.9,0,,,,,,,,,,,,,2.0,0.00025697031992804833,33.7,BS105NB,1,2.0,0.0002826455624646693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 005C,E01014479,7.9,BA13NG,1,4.666666667,0.0005995974132082745,30,0,60,0,80,0,87.9,0,117.9,0,,,,,-0.5627397448207101,0.0,0.10310863485837218,0.0,0.6923075332854607,0.0,4.666666667,0.0005995974132082745,34.8,BS105NB,1,4.666666667,0.0006595063124646694,30,0,60,0,80,0,114.8,0,144.8,0,,,144.8,,-0.6428082403795236,0.24113910274143585,0.12215596578056577,0.05069370736641927,0.6063893957422618,0.12962325545792788,4.666666667,0.0006595063124646694,-0.019047330922193587,0.05069370736641927,0.08006849555881346,0.24113910274143585,0.08591813754319888,0.12962325545792788
Bath and North East Somerset 005D,E01014480,6.9,BA13NG,1,2.333333333,0.00029979870653989467,,,,,,,,,,,,,,,,,,,,,,,32.6,BS105NB,1,2.333333333,0.0003297531561616733,30,0,60,0,80,0,112.6,0,142.6,,,,142.6,,-0.9287247382176194,,0.18205122387277523,,0.45819216350178943,,2.333333333,0.0003297531561616733,,,,,,
