property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency,utility_shift,utility_shift,mRS shift,mRS shift,mRS 0-2,mRS 0-2
scenario,,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,drip-and-ship,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership,diff_drip-and-ship_minus_mothership
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,mean,std,mean,std,mean,std
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornwall 057E,E01018984,27.3,TR13LQ,1,3.0,0.00038545547989207247,30,,60,,80,,107.3,,137.3,,,,,,-0.5201430464894439,,0.09575866086467022,,0.6843380411691161,,3.0,0.00038545547989207247,92.8,PL68DH,1,3.0,0.00042396834369700395,30,0,60,0,80,0,172.8,0,202.8,,,,202.8,,-0.7274334587700801,,0.14503242954516882,,0.4180785836510275,,3.0,0.00042396834369700395,-0.0492737686804986,,0.20729041228063627,,0.2662594575180886,
Cornwall 058A,E01018985,29.4,TR13LQ,1,5.0,0.0006424257998201208,30,0,60,0,80,0,109.40000000000002,0,139.4,0,245.0,,305.0,,-0.4777411235118912,0.06542128525453338,0.09116077490187768,0.006574378939130274,0.5731920536895797,0.1910047786948177,5.0,0.0006424257998201208,94.9,PL68DH,1,5.0,0.0007066139061616733,30,0,60,0,80,0,174.9,0,204.9,,,,204.9,,-0.7205365828429104,,0.14374933875739915,,0.41669551263511423,,5.0,0.0007066139061616733,-0.052588563855521464,0.006574378939130274,0.24279545933101926,0.06542128525453338,0.15649654105446548,0.1910047786948177
Cornwall 058B,E01018986,30.5,TR13LQ,1,4.0,0.0005139406398560967,30,0,60,0,80,0,110.5,0,140.5,0,246.1,0,306.1,0,-0.45595056238038967,0.06597301558048627,0.08872830182820865,0.0067059256408791386,0.5174858833982723,0.19113406555534473,4.0,0.0005139406398560967,97.1,PL68DH,1,4.0,0.0005652911249293386,30,0,60,0,80,0,177.1,0,207.1,0,,,,,-0.3642740459001781,0.0,0.06842499121672452,0.0,0.654780370474429,0.0,4.0,0.0005652911249293386,0.020303310611484132,0.0067059256408791386,-0.09167651648021158,0.06597301558048627,-0.13729448707615677,0.19113406555534473
Cornwall 058C,E01018987,30.5,TR13LQ,1,2.333333333,0.00029979870653989467,30,0,60,0,80,0,110.5,0,140.5,0,246.1,,306.1,,-0.45595056238038967,0.08080011248243796,0.08872830182820865,0.00821304803660008,0.5174858833982723,0.23409046653713228,2.333333333,0.00029979870653989467,96.0,PL68DH,1,2.333333333,0.0003297531561616733,,,,,,,,,,,,,,,,,,,,,,,,0.00821304803660008,,0.08080011248243796,,0.23409046653713228
Cornwall 059A,E01018863,28.4,TR13LQ,1,2.333333333,0.00029979870653989467,30,,60,,80,,108.4,,,,,,,,,,,,,,2.333333333,0.00029979870653989467,93.9,PL68DH,1,2.333333333,0.0003297531561616733,30,0,60,0,80,0,173.9,0,203.9,0,,,,,-0.371503298442486,0.0,0.0697078837952273,0.0,0.6561641839616008,0.0,2.333333333,0.0003297531561616733,,0.0,,0.0,,0.0
Cornwall 059B,E01018864,31.6,TR13LQ,1,3.333333333,0.0004282838665039188,30,0,60,0,80,0,111.6,0,141.6,0,247.2,0,307.2,0,-0.43384279395059355,0.06652268425714385,0.08621997786331174,0.006837085569039302,0.4617053516871459,0.1912628033575177,3.333333333,0.0004282838665039188,98.2,PL68DH,1,3.333333333,0.00047107593739400795,30,0,60,0,80,0,178.2,0,208.2,,,,208.2,,-0.7097162709745124,,0.14173442745965803,,0.4145247698763387,,3.333333333,0.00047107593739400795,-0.055514449596346285,0.006837085569039302,0.27587347702391884,0.06652268425714385,0.0471805818108072,0.1912628033575177
Cornwall 059C,E01018921,23.0,TR13LQ,1,2.333333333,0.00029979870653989467,,,,,,,,,,,,,,,,,,,,,,,84.2,PL68DH,1,2.333333333,0.0003297531561616733,30,0,60,0,80,0,164.2,0,194.19999999999996,0,,,194.2,0.0,-0.634968930117168,0.2092306534029914,0.12472236117569842,0.04429107035000042,0.5026180885019749,0.13659345727013342,2.333333333,0.0003297531561616733,,0.04429107035000042,,0.2092306534029914,,0.13659345727013342
Cornwall 059D,E01018922,27.3,TR13LQ,1,3.333333333,0.0004282838665039188,30,0,60,0,80,0,107.3,0,137.3,0,,,,,-0.5201430464894439,0.0,0.09575866086467022,0.0,0.6843380411691161,0.0,3.333333333,0.0004282838665039188,88.5,PL68DH,1,3.333333333,0.00047107593739400795,30,0,60,0,80,0,168.5,0,198.5,0,,,198.5,,-0.5626340539966167,0.25307167585852314,0.10976408118293735,0.05359543690351441,0.5397039734815279,0.1679935614183029,3.333333333,0.00047107593739400795,-0.014005420318267126,0.05359543690351441,0.04249100750717283,0.25307167585852314,0.14463406768758824,0.1679935614183029
Cornwall 060A,E01018834,20.8,TR13LQ,1,3.0,0.00038545547989207247,30,0,60,0,80,0,100.8,0,,,,,,,,,,,,,3.0,0.00038545547989207247,82.1,PL68DH,1,3.0,0.00042396834369700395,30,0,60,0,80,0,162.1,0,,,,,,,,,,,,,3.0,0.00042396834369700395,,,,,,
Cornwall 060B,E01018835,20.8,TR13LQ,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,100.8,0,130.8,0,,,,,-0.5344524278283935,0.0,0.09823347024709594,0.0,0.6870206347775829,0.0,2.666666667,0.0003426270932802261,82.1,PL68DH,1,2.666666667,0.00037686075,30,0,60,0,80,0,162.1,0,192.1,0,,,192.1,,-0.5804020575869792,0.2578212907279104,0.11299718805203957,0.05456460382857307,0.5431946160829733,0.16694702272965223,2.666666667,0.00037686075,-0.014763717804943621,0.05456460382857307,0.04594962975858563,0.2578212907279104,0.14382601869460965,0.16694702272965223
Cornwall 060C,E01018836,21.9,TR13LQ,1,4.0,0.0005139406398560967,30,0,60,0,80,0,101.90000000000002,0,131.9,0,237.5,0,297.5,0,-0.46801227163945097,0.058443074948745614,0.09192598082865185,0.005376386491529605,0.48900075531663295,0.18035296517234217,4.0,0.0005139406398560967,83.1,PL68DH,1,4.0,0.0005652911249293386,30,0,60,0,80,0,163.1,0,193.1,0,,,193.1,,-0.5776242017517038,0.25707398929603953,0.11249219860515386,0.05441237407544744,0.5426491891249698,0.1671115705900777,4.0,0.0005652911249293386,-0.020566217776502013,0.05467734434144298,0.10961193011225284,0.2636335126307825,-0.05364843380833689,0.24587287176819364
Cornwall 060D,E01018837,20.8,TR13LQ,1,4.666666667,0.0005995974132082745,30,0,60,0,80,0,100.8,0,130.8,0,236.4,,296.4,,-0.48159326380979395,0.07475414665080744,0.09344204650965934,0.006776096432559224,0.5224973106856439,0.2326711162575243,4.666666667,0.0005995974132082745,82.1,PL68DH,1,4.666666667,0.0006595063124646694,30,0,60,0,80,0,162.1,0,192.1,0,,,,,-0.3980948745790054,0.0,0.07441418667209809,0.0,0.6612439879540151,0.0,4.666666667,0.0006595063124646694,0.01902785983756125,0.006776096432559224,-0.08349838923078856,0.07475414665080744,-0.1387466772683712,0.2326711162575243
Cornwall 061A,E01018975,35.9,TR13LQ,1,3.666666667,0.00047111225324425026,30,0,60,0,80,0,115.90000000000002,0,145.9,0,,,,,-0.501154154382824,0.0,0.09246553903781563,0.0,0.6807698225220166,0.0,3.666666667,0.00047111225324425026,101.4,PL68DH,1,3.666666667,0.0005181835312323347,30,0,60,0,80,0,181.4,0,211.4,0,,,211.4,,-0.4694467290850522,0.19901071379676893,0.0910585313614428,0.042195947460511675,0.5727521484693995,0.13884914029949605,3.666666667,0.0005181835312323347,0.0014070076763728206,0.042195947460511675,-0.03170742529777176,0.19901071379676893,0.10801767405261709,0.13884914029949605
Cornwall 061B,E01018979,27.3,TR13LQ,1,1.666666667,0.000214141933316202,30,0,60,0,80,0,107.3,0,137.3,0,242.9,,302.9,,-0.48298348354203036,0.06436225101197411,0.09210855285930218,0.0063221725184113425,0.5742047608809332,0.19075643706335688,1.666666667,0.000214141933316202,92.8,PL68DH,1,1.666666667,0.00023553796876766536,,,,,,,,,,,,,,,,,,,,,,,,0.0063221725184113425,,0.06436225101197411,,0.19075643706335688
Cornwall 061C,E01018980,23.0,TR13LQ,1,5.0,0.0006424257998201208,30,0,60,0,80,0,103.0,0,133.0,0,238.6,,298.6,,-0.4937194041982713,0.06217024073062595,0.09404778678187548,0.005801376406695328,0.5762779591363439,0.19024172268305017,5.0,0.0006424257998201208,89.6,PL68DH,1,5.0,0.0007066139061616733,30,0,60,0,80,0,169.6,0,199.6,0,,,199.6,,-0.470394125302978,0.17837705326049935,0.0903177291405016,0.03778077620210579,0.5985617833916336,0.11891546027953076,5.0,0.0007066139061616733,0.0037300576413738795,0.03822359243511479,-0.023325278895293344,0.18890079926353673,-0.02228382425528963,0.22434972641594023
Cornwall 061D,E01018990,34.8,TR13LQ,1,5.666666667,0.0007280825731722986,30,0,60,0,80,0,114.8,0,144.8,0,,,,,-0.5035865144996108,0.0,0.0928879401863435,0.0,0.681227417174132,0.0,5.666666667,0.0007280825731722986,101.4,PL68DH,1,5.666666667,0.000800829093697004,30,0,60,0,80,0,181.4,0,,,,,,,,,,,,,5.666666667,0.000800829093697004,,0.0,,0.0,,0.0
Cornwall 061E,E01019007,32.6,TR13LQ,1,2.333333333,0.00029979870653989467,30,,60,,80,,112.6,,142.6,,,,,,-0.5084481253699789,,0.09373169842885942,,0.6821415581757908,,2.333333333,0.00029979870653989467,98.2,PL68DH,1,2.333333333,0.0003297531561616733,30,0,60,0,80,0,178.2,0,208.2,0,,,208.2,0.0,-0.7097162709745124,0.0,0.14173442745965803,0.0,0.4145247698763387,0.0,2.333333333,0.0003297531561616733,-0.04800272903079861,0.0,0.20126814560453354,0.0,0.2676167882994521,0.0
Cornwall 062A,E01018838,24.1,TR13LQ,1,5.333333333,0.000685254186431967,30,0,60,0,80,0,104.1,0,134.1,0,239.7,,299.7,,-0.4909728101019053,0.06273399862506818,0.09355189114469503,0.005935161271380309,0.5757476650955705,0.19037418526139957,5.333333333,0.000685254186431967,85.3,PL68DH,1,5.333333333,0.0007537214998586772,30,0,60,0,80,0,165.3,0,195.30000000000004,0,,,195.3,,-0.5113080026277349,0.20856316648075812,0.09863455380967036,0.04415491483095141,0.5809228490082147,0.13674051346004581,5.333333333,0.0007537214998586772,-0.0050826626649753265,0.044552021761597595,0.020335192525829604,0.2177938222171843,-0.0051751839126441546,0.23439346926750892
Cornwall 062B,E01018839,24.1,TR13LQ,1,1.666666667,0.000214141933316202,30,0,60,0,80,0,104.09999999999998,0,134.1,0,,,,,-0.52719230109543,0.0,0.0969785581024103,0.0,0.6856602522029953,0.0,1.666666667,0.000214141933316202,85.3,PL68DH,1,1.666666667,0.00023553796876766536,30,,60,,80,,165.3,,,,,,,,,,,,,,1.666666667,0.00023553796876766536,,0.0,,0.0,,0.0
Cornwall 062C,E01018840,24.1,TR13LQ,1,2.0,0.00025697031992804833,30,0,60,0,80,0,104.1,0,134.1,0,,,,,-0.52719230109543,0.0,0.0969785581024103,0.0,0.6856602522029953,0.0,2.0,0.00025697031992804833,85.3,PL68DH,1,2.0,0.0002826455624646693,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
Cornwall 062D,E01018841,23.0,TR13LQ,1,1.0,0.00012848515996402416,30,0,60,0,80,0,103.0,0,133.0,0,238.6,,298.6,,-0.47577240158756595,0.07614268348801462,0.09237307366683753,0.0071052060011122685,0.5213599042352655,0.2329975741807666,1.0,0.00012848515996402416,84.2,PL68DH,1,1.0,0.00014132278123233464,,,,,,,,,,,,,,,,,,,,,,,,0.0071052060011122685,,0.07614268348801462,,0.2329975741807666
Cornwall 062E,E01018860,23.0,TR13LQ,1,4.0,0.0005139406398560967,30,0,60,0,80,0,103.0,0,133.0,,,,,,-0.529613409419682,,0.09739721301195137,,0.6861140689385011,,4.0,0.0005139406398560967,84.2,PL68DH,1,4.0,0.0005652911249293386,30,0,60,0,80,0,164.2,0,194.2,0,,,194.2,0.0,-0.5745692430846988,0.19370994440903366,0.11193663048106373,0.04100556317047048,0.5420492231642015,0.12646096823811268,4.0,0.0005652911249293386,-0.014539417469112359,0.04100556317047048,0.044955833665016764,0.19370994440903366,0.14406484577429968,0.12646096823811268
Cornwall 063A,E01018803,26.2,TR13LQ,1,7.0,0.0008993961197481691,30,0,60,0,80,0,106.2,0,136.2,0,241.8,,301.8,,-0.5004647056272205,0.049422763858778314,0.09403422759177658,0.004794369284040903,0.6187582588174096,0.14765792252784643,7.0,0.0008993961197481691,87.4,PL68DH,1,7.0,0.0009892594686263425,30,0,60,0,80,0,167.4,0,197.4,0,,,197.4,,-0.5058455248545995,0.2072941330726625,0.09764834220150477,0.04389579394785817,0.5798582344739841,0.13702021085900315,7.0,0.0009892594686263425,-0.003614114609728186,0.044156842087547166,0.005380819227379097,0.2131043575194728,0.03890002434342554,0.20143832869909636
Cornwall 063B,E01018804,25.1,TR13LQ,1,3.0,0.00038545547989207247,30,0,60,0,80,0,105.1,0,,,,,,,,,,,,,3.0,0.00038545547989207247,86.4,PL68DH,1,3.0,0.00042396834369700395,30,0,60,0,80,0,166.4,0,196.4,0,,,196.4,,-0.5084466240163769,0.20789757344828314,0.09811804187564176,0.04401905162678827,0.5803652390807427,0.13688719327686227,3.0,0.00042396834369700395,,0.04401905162678827,,0.20789757344828314,,0.13688719327686227
Cornwall 063C,E01018805,25.1,TR13LQ,1,4.666666667,0.0005995974132082745,30,0,60,0,80,0,105.1,0,135.1,0,240.7,,300.7,,-0.4702188473734995,0.07745863236506324,0.09135261782114582,0.0074176077473228534,0.5202746239169622,0.23330671385586096,4.666666667,0.0005995974132082745,86.4,PL68DH,1,4.666666667,0.0006595063124646694,30,0,60,0,80,0,166.4,0,196.4,0,,,196.4,0.0,-0.628476344010613,0.20789757344828314,0.12353245318183999,0.04401905162678827,0.5013333811937338,0.13688719327686233,4.666666667,0.0006595063124646694,-0.03217983536069417,0.044639643936919965,0.15825749663711353,0.22185860536285337,0.01894124272322839,0.270499771558938
Cornwall 063D,E01018806,24.1,TR13LQ,1,2.0,0.00025697031992804833,30,,60,,80,,104.1,,134.1,,,,,,-0.52719230109543,,0.0969785581024103,,0.6856602522029953,,2.0,0.00025697031992804833,85.3,PL68DH,1,2.0,0.0002826455624646693,30,,60,,80,,165.3,,,,,,,,,,,,,,2.0,0.0002826455624646693,,,,,,
Cornwall 064A,E01018811,24.1,TR13LQ,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,104.09999999999998,0,134.1,0,,,,,-0.52719230109543,0.0,0.0969785581024103,0.0,0.6856602522029953,0.0,2.666666667,0.0003426270932802261,85.3,PL68DH,1,2.666666667,0.00037686075,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
Cornwall 064B,E01018812,25.1,TR13LQ,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,105.1,0,,,,,,,,,,,,,2.666666667,0.0003426270932802261,86.4,PL68DH,1,2.666666667,0.00037686075,30,0,60,0,80,0,166.4,0,196.4,0,,,196.4,,-0.5684614840134949,0.2546214868555409,0.11082524752874087,0.05391210772343052,0.5408493101372382,0.1676518879250263,2.666666667,0.00037686075,,0.05391210772343052,,0.2546214868555409,,0.1676518879250263
Cornwall 064C,E01018813,25.1,TR13LQ,1,2.0,0.00025697031992804833,30,0,60,0,80,0,105.1,0,135.1,0,,,,,-0.5249903715802715,0.0,0.09659765855945968,0.0,0.6852473833807909,0.0,2.0,0.00025697031992804833,86.4,PL68DH,1,2.0,0.0002826455624646693,30,0,60,0,80,0,166.4,0,196.4,0,,,196.4,,-0.5084466240163769,0.20789757344828308,0.09811804187564176,0.044019051626788264,0.5803652390807427,0.13688719327686227,2.0,0.0002826455624646693,-0.0015203833161820807,0.044019051626788264,-0.01654374756389465,0.20789757344828308,0.10488214430004827,0.13688719327686227
Cornwall 064D,E01018814,24.1,TR13LQ,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,104.1,0,,,,,,,,,,,,,2.666666667,0.0003426270932802261,85.3,PL68DH,1,2.666666667,0.00037686075,30,0,60,0,80,0,165.3,0,195.3,,,,,,-0.3908940023170284,,0.07314170184597557,,0.6598700212634998,,2.666666667,0.00037686075,,,,,,
Cornwall 064E,E01018859,23.0,TR13LQ,1,5.0,0.0006424257998201208,30,0,60,0,80,0,103.0,0,133.0,,,,,,-0.529613409419682,,0.09739721301195137,,0.6861140689385011,,5.0,0.0006424257998201208,84.2,PL68DH,1,5.0,0.0007066139061616733,30,0,60,0,80,0,164.2,0,194.2,0,,,194.19999999999996,0.0,-0.6651687736334027,0.18119906109740755,0.13111522652301577,0.03835719208390409,0.4829025211708616,0.11829340398667977,5.0,0.0007066139061616733,-0.033718013511064404,0.03835719208390409,0.1355553642137206,0.18119906109740755,0.20321154776763956,0.11829340398667977
Cornwall 065A,E01018988,32.6,TR13LQ,1,4.666666667,0.0005995974132082745,30,0,60,0,80,0,112.6,0,142.6,0,248.2,0,308.2,0,-0.4697537665625153,0.05994504290139231,0.08971565819747279,0.00622162277354376,0.5716486328827245,0.17117490381351455,4.666666667,0.0005995974132082745,99.2,PL68DH,1,4.666666667,0.0006595063124646694,30,0,60,0,80,0,179.19999999999996,0,,,,,,,,,,,,,4.666666667,0.0006595063124646694,,0.00622162277354376,,0.05994504290139231,,0.17117490381351455
Cornwall 065B,E01018989,38.0,TR13LQ,1,2.333333333,0.00029979870653989467,30,0,60,0,80,0,118.0,0,148.0,0,253.6,,313.6,,-0.4562779535705361,0.06967995101798548,0.08727464261302648,0.007592495047264134,0.5690435024379207,0.1920008852144296,2.333333333,0.00029979870653989467,104.6,PL68DH,1,2.333333333,0.0003297531561616733,30,0,60,0,80,0,184.6,0,214.6,,,,,,-0.3473009522962136,,0.0654072369088472,,0.6515267947771406,,2.333333333,0.0003297531561616733,0.021867405704179277,0.007592495047264134,-0.10897700127432247,0.06967995101798548,-0.08248329233921992,0.1920008852144296
Cornwall 065C,E01018991,45.5,TR13LQ,1,1.666666667,0.000214141933316202,,,,,,,,,,,,,,,,,,,,,,,111.1,PL68DH,1,1.666666667,0.00023553796876766536,30,,60,,80,,191.1,,221.1,,,,221.1,,-0.6676270551045294,,0.13387484777616132,,0.40607166864791533,,1.666666667,0.00023553796876766536,,,,,,
Cornwall 065D,E01019006,40.2,TR13LQ,1,1.666666667,0.000214141933316202,,,,,,,,,,,,,,,,,,,,,,,105.7,PL68DH,1,1.666666667,0.00023553796876766536,30,0,60,0,80,0,185.7,0,215.7,0,,,215.7,,-0.42990739855943955,0.17019856579400294,0.08301289345657464,0.036099099516831434,0.5906872316147218,0.12072234575394322,1.666666667,0.00023553796876766536,,0.036099099516831434,,0.17019856579400294,,0.12072234575394322
Cornwall 066A,E01018879,28.4,TR13LQ,1,3.666666667,0.00047111225324425026,30,0,60,0,80,0,108.4,0,138.4,0,244.0,0,304.0,0,-0.40527666228158754,0.0,0.08415919169112307,0.0,0.3532572564212231,0.0,3.666666667,0.00047111225324425026,89.6,PL68DH,1,3.666666667,0.0005181835312323347,30,0,60,0,80,0,169.6,0,199.6,0,,,,,-0.3812055986727283,0.0,0.0714273410394487,0.0,0.658019513531399,0.0,3.666666667,0.0005181835312323347,0.01273185065167437,0.0,-0.024071063608859244,0.0,-0.3047622571101759,0.0
Cornwall 066B,E01018880,29.4,TR13LQ,1,5.666666667,0.0007280825731722986,30,0,60,0,80,0,109.40000000000002,0,139.4,0,,,,,-0.5155121201643273,0.0,0.09495649435213915,0.0,0.6834687140855377,0.0,5.666666667,0.0007280825731722986,90.6,PL68DH,1,5.666666667,0.000800829093697004,30,0,60,0,80,0,170.6,0,,,,,,,,,,,,,5.666666667,0.000800829093697004,,0.0,,0.0,,0.0
Cornwall 066C,E01018899,20.8,TR13LQ,1,3.333333333,0.0004282838665039188,30,0,60,0,80,0,100.8,0,130.8,0,236.4,0,296.4,0,-0.48159326380979395,0.0610365051505541,0.09344204650965934,0.005532659569221169,0.5224973106856439,0.18997517090490607,3.333333333,0.0004282838665039188,82.1,PL68DH,1,3.333333333,0.00047107593739400795,30,0,60,0,80,0,162.1,0,192.1,0,,,192.1,,-0.5196329965843213,0.21051020236971205,0.10013618759205907,0.04455181246570582,0.5825444067066539,0.13631167325482443,3.333333333,0.00047107593739400795,-0.006694141082399727,0.04489403430176792,0.038039732774527324,0.21918029168410819,-0.060047096021009994,0.23381924177851207
Cornwall 066D,E01018900,23.0,TR13LQ,1,3.0,0.00038545547989207247,30,0,60,0,80,0,103.0,0,133.0,0,238.6,,298.6,,-0.4937194041982713,0.06217024073062595,0.09404778678187548,0.005801376406695328,0.5762779591363439,0.19024172268305017,3.0,0.00038545547989207247,84.2,PL68DH,1,3.0,0.00042396834369700395,30,0,60,0,80,0,164.2,0,194.2,,,,,,-0.39337018198729123,,0.07357943839715964,,0.6603426271508812,,3.0,0.00042396834369700395,0.02046834838471584,0.005801376406695328,-0.10034922221098008,0.06217024073062595,-0.08406466801453727,0.19024172268305017
Cornwall 066E,E01018901,19.8,TR13LQ,1,2.666666667,0.0003426270932802261,30,0,60,0,80,0,99.8,0,129.8,0,,,,,-0.5366505671229076,0.0,0.09861312277405798,0.0,0.6874322385683737,0.0,2.666666667,0.0003426270932802261,81.0,PL68DH,1,2.666666667,0.00037686075,30,0,60,0,80,0,161.0,0,191.0,0,,,191.0,,-0.5224950419556561,0.2111831935132305,0.10065204643773414,0.04468881384540932,0.5831016129493629,0.13616352964459502,2.666666667,0.00037686075,-0.0020389236636761537,0.04468881384540932,-0.014155525167251493,0.2111831935132305,0.10433062561901074,0.13616352964459502
Cornwall 067A,E01018976,35.9,TR13LQ,1,3.666666667,0.00047111225324425026,30,0,60,0,80,0,115.90000000000002,0,145.9,0,251.5,0,311.5,0,-0.382246027472116,0.0,0.07974175682525042,0.0,0.34863043394816445,0.0,3.666666667,0.00047111225324425026,102.5,PL68DH,1,3.666666667,0.0005181835312323347,30,0,60,0,80,0,182.5,0,212.5,0,,,212.5,,-0.4665882264103849,0.19837292649797172,0.09053967729431116,0.04206445125101612,0.5721932282600288,0.13899016414376142,3.666666667,0.0005181835312323347,-0.010797920469060737,0.04206445125101612,0.08434219893826889,0.19837292649797172,-0.22356279431186438,0.13899016414376142
Cornwall 067B,E01018977,35.9,TR13LQ,1,3.333333333,0.0004282838665039188,30,0,60,0,80,0,115.9,0,145.9,0,,,,,-0.501154154382824,0.0,0.09246553903781563,0.0,0.6807698225220166,0.0,3.333333333,0.0004282838665039188,101.4,PL68DH,1,3.333333333,0.00047107593739400795,30,0,60,0,80,0,181.4,0,211.4,0,,,211.4,,-0.5268961736761443,0.24373735107457212,0.10323945217396166,0.05167927024577062,0.5326698542050684,0.17005477247893896,3.333333333,0.00047107593739400795,-0.010773913136146035,0.05167927024577062,0.025742019293320317,0.24373735107457212,0.14809996831694816,0.17005477247893896
Cornwall 067C,E01018994,36.9,TR13LQ,1,5.0,0.0006424257998201208,30,0,60,0,80,0,116.9,0,146.9,0,252.5,,312.5,,-0.4789823749738611,0.048890949639276524,0.08992668130674743,0.005277560353847509,0.6249638794287266,0.13567636831962634,5.0,0.0006424257998201208,102.5,PL68DH,1,5.0,0.0007066139061616733,30,0,60,0,80,0,182.5,0,212.5,0,,,212.5,0.0,-0.5811188889239227,0.19837292649797172,0.1148255995473992,0.04206445125101612,0.49194721957691795,0.1389901641437614,5.0,0.0007066139061616733,-0.02489891824065177,0.04239422958773534,0.10213651395006162,0.20430893990229593,0.1330166598518086,0.1942327023163521
Cornwall 067D,E01018996,33.7,TR13LQ,1,4.333333333,0.0005567690264679429,30,0,60,0,80,0,113.7,0,143.7,0,249.3,0,309.3,0,-0.45920651051573724,0.06409905148942321,0.0884003876015822,0.006722754619253444,0.5490046880810773,0.18167953742838652,4.333333333,0.0005567690264679429,100.3,PL68DH,1,4.333333333,0.0006123987186263426,30,0,60,0,80,0,180.3,0,210.3,0,,,210.3,0.0,-0.49535908941195705,0.1894050047468367,0.09646481780661845,0.04015562682357373,0.5572944011876793,0.13158969861318395,4.333333333,0.0006123987186263426,-0.00806443020503625,0.04071449121952536,0.03615257889621981,0.199957356016209,-0.008289713106601981,0.22432856060096557
Cornwall 067E,E01018997,34.8,TR13LQ,1,3.333333333,0.0004282838665039188,30,0,60,0,80,0,114.8,0,144.8,,,,,,-0.5035865144996108,,0.0928879401863435,,0.681227417174132,,3.333333333,0.0004282838665039188,101.4,PL68DH,1,3.333333333,0.00047107593739400795,30,0,60,0,80,0,181.4,0,211.4,0,,,,,-0.3545478399028681,0.0,0.06669668973640508,0.0,0.6529167369980616,0.0,3.333333333,0.00047107593739400795,0.02619125044993842,0.0,-0.1490386745967427,0.0,0.028310680176070413,0.0
Cornwall 068A,E01018995,35.9,TR13LQ,1,3.666666667,0.00047111225324425026,30,0,60,0,80,0,115.9,0,145.9,0,251.5,,311.5,,-0.47142712265514697,0.05945406345535398,0.08928459348467432,0.006361891106282602,0.5977349753785536,0.16606969428692606,3.666666667,0.00047111225324425026,102.5,PL68DH,1,3.666666667,0.0005181835312323347,30,0,60,0,80,0,182.5,0,,,,,,,,,,,,,3.666666667,0.0005181835312323347,,0.006361891106282602,,0.05945406345535398,,0.16606969428692606
Cornwall 068B,E01018998,34.8,TR13LQ,1,3.666666667,0.00047111225324425026,30,,60,,80,,114.8,,144.8,,,,,,-0.5035865144996108,,0.0928879401863435,,0.681227417174132,,3.666666667,0.00047111225324425026,101.4,PL68DH,1,3.666666667,0.0005181835312323347,30,0,60,0,80,0,181.4,0,211.4,0,,,,,-0.3545478399028681,0.0,0.06669668973640508,0.0,0.6529167369980616,0.0,3.666666667,0.0005181835312323347,0.02619125044993842,0.0,-0.1490386745967427,0.0,0.028310680176070413,0.0
