lsoa,lsoa_code,unit_travel_time,unit_postcode,selected,admissions,relative_frequency
Bath and North East Somerset 016G,E01014460,35.9,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 017A,E01014415,35.9,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 017B,E01014416,34.8,BS105NB,1,4.333333333,0.0006123987186263426
Bath and North East Somerset 017C,E01014417,35.9,BS105NB,1,4.0,0.0005652911249293386
Bath and North East Somerset 018A,E01014387,38.0,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 018B,E01014388,39.1,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 018C,E01014389,39.1,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 018D,E01014390,38.0,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 019A,E01014431,33.7,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 019B,E01014432,34.8,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 019C,E01014433,36.9,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 019D,E01014434,33.7,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 020A,E01014385,30.5,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 020B,E01014386,32.6,BS105NB,1,1.0,0.00014132278123233464
Bath and North East Somerset 020C,E01014419,33.7,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 020D,E01014446,27.3,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 020E,E01014447,24.1,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 021A,E01014382,33.7,BS105NB,1,4.333333333,0.0006123987186263426
Bath and North East Somerset 021B,E01014383,36.9,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 021C,E01014384,33.7,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 021D,E01014418,39.1,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 022A,E01014379,36.9,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 022B,E01014442,41.2,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 022C,E01014443,41.2,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 022D,E01014444,41.2,BS105NB,1,3.333333333,0.00047107593739400795
Bath and North East Somerset 022E,E01014445,43.4,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 023A,E01014393,35.9,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 023B,E01014394,35.9,BS105NB,1,3.333333333,0.00047107593739400795
Bath and North East Somerset 023C,E01014439,40.2,BS105NB,1,6.333333333,0.0008950442810910118
Bath and North East Somerset 023D,E01014440,38.0,BS105NB,1,2.666666667,0.00037686075
Bath and North East Somerset 023E,E01014441,40.2,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 024A,E01014448,42.3,BS105NB,1,3.666666667,0.0005181835312323347
Bath and North East Somerset 024B,E01014449,45.5,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 024C,E01014450,45.5,BS105NB,1,1.666666667,0.00023553796876766536
Bath and North East Somerset 024D,E01014451,44.5,BS105NB,1,0.333333333,4.710759369700396e-05
Bath and North East Somerset 025A,E01014420,41.2,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 025B,E01014421,40.2,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 025C,E01014422,40.2,BS105NB,1,3.666666667,0.0005181835312323347
Bath and North East Somerset 025D,E01014423,41.2,BS105NB,1,0.666666667,9.42151875353307e-05
Bath and North East Somerset 026A,E01014469,45.5,BS105NB,1,2.333333333,0.0003297531561616733
Bath and North East Somerset 026B,E01014470,45.5,BS105NB,1,2.0,0.0002826455624646693
Bath and North East Somerset 026C,E01014471,44.5,BS105NB,1,0.333333333,4.710759369700396e-05
Bath and North East Somerset 026D,E01014472,43.4,BS105NB,1,1.333333333,0.0001884303749293386
Bath and North East Somerset 027A,E01014424,42.3,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 027B,E01014425,41.2,BS105NB,1,3.0,0.00042396834369700395
Bath and North East Somerset 027C,E01014426,41.2,BS105NB,1,2.666666667,0.00037686075
Bristol 001A,E01014601,12.2,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 001B,E01014602,14.4,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 001C,E01014603,12.2,BS105NB,1,2.0,0.0002826455624646693
Bristol 001E,E01014605,13.3,BS105NB,1,4.0,0.0005652911249293386
Bristol 001G,E01032516,16.5,BS105NB,1,2.666666667,0.00037686075
Bristol 001H,E01032517,13.3,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 002A,E01014688,10.1,BS105NB,1,3.0,0.00042396834369700395
Bristol 002B,E01014689,11.2,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 002C,E01014690,11.2,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 002D,E01014691,12.2,BS105NB,1,5.666666667,0.000800829093697004
Bristol 002E,E01014692,10.1,BS105NB,1,3.0,0.00042396834369700395
Bristol 002F,E01014693,12.2,BS105NB,1,2.666666667,0.00037686075
Bristol 002G,E01014694,12.2,BS105NB,1,2.0,0.0002826455624646693
Bristol 003A,E01014497,24.1,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 003B,E01014498,23.0,BS105NB,1,3.0,0.00042396834369700395
Bristol 003C,E01014638,18.7,BS105NB,1,3.0,0.00042396834369700395
Bristol 003D,E01014639,18.7,BS105NB,1,2.0,0.0002826455624646693
Bristol 003E,E01014640,17.6,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 004A,E01014631,9.0,BS105NB,1,2.0,0.0002826455624646693
Bristol 004B,E01014632,7.9,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 004C,E01014633,10.1,BS105NB,1,2.666666667,0.00037686075
Bristol 004D,E01014636,9.0,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 005A,E01014630,10.1,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 005B,E01014634,9.0,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 005C,E01014659,11.2,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 005D,E01014661,10.1,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 006A,E01014616,12.2,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 006B,E01014719,13.3,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 006C,E01014720,11.2,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 006D,E01014721,13.3,BS105NB,1,4.333333333,0.0006123987186263426
Bristol 007A,E01014641,15.5,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 007B,E01014642,16.5,BS105NB,1,4.666666667,0.0006595063124646694
Bristol 007C,E01014643,17.6,BS105NB,1,1.0,0.00014132278123233464
Bristol 007D,E01014644,15.5,BS105NB,1,3.666666667,0.0005181835312323347
Bristol 008A,E01014492,18.7,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 008B,E01014493,24.1,BS105NB,1,3.0,0.00042396834369700395
Bristol 008C,E01014494,18.7,BS105NB,1,3.0,0.00042396834369700395
Bristol 008D,E01014495,18.7,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 008E,E01014496,21.9,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 008F,E01014499,23.0,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 009A,E01014715,14.4,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 009B,E01014716,15.5,BS105NB,1,4.0,0.0005652911249293386
Bristol 009C,E01014717,14.4,BS105NB,1,10.66666667,0.0015074430002826455
Bristol 009D,E01014718,13.3,BS105NB,1,2.0,0.0002826455624646693
Bristol 010A,E01014510,10.1,BS105NB,1,1.0,0.00014132278123233464
Bristol 010B,E01014635,9.0,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 010C,E01014637,10.1,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 010D,E01014662,10.1,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 011A,E01014615,12.2,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 011B,E01014617,10.1,BS105NB,1,1.0,0.00014132278123233464
Bristol 011C,E01014618,12.2,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 011D,E01014620,12.2,BS105NB,1,2.0,0.0002826455624646693
Bristol 012A,E01014571,17.6,BS105NB,1,2.666666667,0.00037686075
Bristol 012B,E01014577,14.4,BS105NB,1,2.0,0.0002826455624646693
Bristol 012C,E01014586,16.5,BS105NB,1,3.0,0.00042396834369700395
Bristol 012D,E01014587,16.5,BS105NB,1,3.666666667,0.0005181835312323347
Bristol 013A,E01014588,16.5,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 013B,E01014589,18.7,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 013C,E01014590,17.6,BS105NB,1,2.666666667,0.00037686075
Bristol 013D,E01014591,17.6,BS105NB,1,3.666666667,0.0005181835312323347
Bristol 013E,E01014592,18.7,BS105NB,1,3.666666667,0.0005181835312323347
Bristol 014A,E01014660,12.2,BS105NB,1,3.0,0.00042396834369700395
Bristol 014B,E01014663,12.2,BS105NB,1,3.0,0.00042396834369700395
Bristol 014C,E01014664,11.2,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 014D,E01014665,12.2,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 015A,E01014709,16.5,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 015B,E01014710,16.5,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 015C,E01014711,16.5,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 015D,E01014712,15.5,BS105NB,1,3.666666667,0.0005181835312323347
Bristol 015E,E01014713,17.6,BS105NB,1,3.0,0.00042396834369700395
Bristol 015F,E01014714,15.5,BS105NB,1,5.0,0.0007066139061616733
Bristol 016A,E01014507,11.2,BS105NB,1,1.0,0.00014132278123233464
Bristol 016B,E01014508,12.2,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 016C,E01014509,11.2,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 016D,E01014511,12.2,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 016E,E01014512,12.2,BS105NB,1,1.0,0.00014132278123233464
Bristol 016F,E01014513,12.2,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 016G,E01014514,11.2,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 017A,E01014619,13.3,BS105NB,1,3.0,0.00042396834369700395
Bristol 017B,E01014621,12.2,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 017C,E01014666,12.2,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 017D,E01014667,12.2,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 017E,E01014672,13.3,BS105NB,1,4.666666667,0.0006595063124646694
Bristol 018A,E01014624,17.6,BS105NB,1,2.0,0.0002826455624646693
Bristol 018D,E01014629,18.7,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 018E,E01032518,19.8,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 018F,E01032519,17.6,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 019A,E01014572,14.4,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 019B,E01014573,14.4,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 019C,E01014575,12.2,BS105NB,1,1.333333333,0.0001884303749293386
Bristol 019D,E01014576,14.4,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 020A,E01014487,14.4,BS105NB,1,1.0,0.00014132278123233464
Bristol 020B,E01014491,13.3,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 020C,E01014668,12.2,BS105NB,1,2.0,0.0002826455624646693
Bristol 020D,E01014669,14.4,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 020E,E01014670,13.3,BS105NB,1,1.666666667,0.00023553796876766536
Bristol 020F,E01014671,12.2,BS105NB,1,1.0,0.00014132278123233464
Bristol 021A,E01014622,16.5,BS105NB,1,3.0,0.00042396834369700395
Bristol 021B,E01014623,16.5,BS105NB,1,2.666666667,0.00037686075
Bristol 021C,E01014626,15.5,BS105NB,1,2.333333333,0.0003297531561616733
Bristol 021D,E01014627,16.5,BS105NB,1,2.0,0.0002826455624646693
Bristol 022A,E01014557,15.5,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 022B,E01014558,16.5,BS105NB,1,2.0,0.0002826455624646693
Bristol 022C,E01014559,14.4,BS105NB,1,3.333333333,0.00047107593739400795
Bristol 022D,E01014560,14.4,BS105NB,1,0.0,0.0
Bristol 022E,E01014562,15.5,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 023A,E01014485,13.3,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 023B,E01014486,14.4,BS105NB,1,3.0,0.00042396834369700395
Bristol 023C,E01014488,14.4,BS105NB,1,1.0,0.00014132278123233464
Bristol 023D,E01014489,15.5,BS105NB,1,2.0,0.0002826455624646693
Bristol 023F,E01033347,15.5,BS105NB,1,0.333333333,4.710759369700396e-05
Bristol 023G,E01033348,14.4,BS105NB,1,1.0,0.00014132278123233464
Bristol 023H,E01033366,15.5,BS105NB,1,0.666666667,9.42151875353307e-05
Bristol 025A,E01014539,15.5,BS105NB,1,1.333333333,0.0001884303749293386
