property,,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 008A,E01014427,30.0,,60.0,,80.0,,111.6,,141.6,,,,,,-0.5106565732767505,,0.09411476425082643,,0.6825566136959965,,0.666666667,9.42151875353307e-05
Bath and North East Somerset 008C,E01014429,30.0,0.0,60.0,0.0,80.0,0.0,111.6,0.0,141.6,0.0,,,,,-0.5106565732767505,0.0,0.09411476425082643,0.0,0.6825566136959965,0.0,1.333333333,0.0001884303749293386
Bath and North East Somerset 008D,E01014430,30.0,,60.0,,80.0,,111.6,,141.6,,,,,,-0.5106565732767505,,0.09411476425082643,,0.6825566136959965,,3.0,0.00042396834369700395
Bath and North East Somerset 009A,E01014405,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,143.7,0.0,,,143.7,,-0.7155025001033534,0.2962560487429796,0.13734078498194294,0.062268942608299495,0.5695686635310596,0.15855596643747638,2.666666667,0.00037686075
Bath and North East Somerset 009E,E01033080,30.0,,60.0,,80.0,,115.9,,145.9,,,,145.9,,-0.9175183382021013,,0.180012547011363,,0.4559742319491503,,1.666666667,0.00023553796876766536
Bath and North East Somerset 010A,E01014373,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,143.7,0.0,,,,,-0.5060178390696601,0.0,0.09330999340629842,0.0,0.6816846625965858,0.0,3.666666667,0.0005181835312323347
Bath and North East Somerset 010B,E01014374,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,143.7,0.0,,,143.7,,-0.645674279758789,0.2418920508778006,0.1226638544567281,0.050842378737661335,0.6069406632195683,0.12946040448189078,5.333333333,0.0007537214998586772
Bath and North East Somerset 010D,E01014376,30.0,0.0,60.0,0.0,80.0,0.0,113.7,0.0,143.7,0.0,,,143.7,,-0.645674279758789,0.2418920508778006,0.1226638544567281,0.050842378737661335,0.6069406632195683,0.12946040448189078,3.0,0.00042396834369700395
Bath and North East Somerset 010G,E01033078,30.0,0.0,60.0,0.0,80.0,0.0,121.2,0.0,151.2,0.0,,,,,-0.48942017259882986,0.0,0.09042546536292018,0.0,0.6785601730025733,0.0,2.666666667,0.00037686075
Bath and North East Somerset 011A,E01014461,30.0,,60.0,,80.0,,113.7,,143.7,,,,,,-0.5060178390696601,,0.09330999340629842,,0.6816846625965858,,1.0,0.00014132278123233464
Bath and North East Somerset 011B,E01014462,30.0,0.0,60.0,0.0,80.0,0.0,111.59999999999998,0.0,141.6,0.0,,,,,-0.5106565732767505,0.0,0.09411476425082643,0.0,0.6825566136959965,0.0,1.333333333,0.0001884303749293386
Bath and North East Somerset 011C,E01014463,30.0,0.0,60.0,0.0,80.0,0.0,111.6,0.0,141.6,0.0,,,,,-0.5106565732767505,0.0,0.09411476425082643,0.0,0.6825566136959965,0.0,2.666666667,0.00037686075
Bath and North East Somerset 011D,E01014464,30.0,0.0,60.0,0.0,80.0,0.0,111.6,0.0,141.6,,,,,,-0.5106565732767505,,0.09411476425082643,,0.6825566136959965,,2.0,0.0002826455624646693
Bath and North East Somerset 012B,E01014381,30.0,0.0,60.0,0.0,80.0,0.0,116.9,0.0,146.9,0.0,,,146.9,,-0.7065341214273176,0.2935795630409894,0.13573808136291063,0.06174010237976721,0.5678279984134205,0.15913512560198834,3.0,0.00042396834369700395
Bath and North East Somerset 012C,E01014481,30.0,0.0,60.0,0.0,80.0,0.0,114.8,0.0,,,,,,,,,,,,,2.0,0.0002826455624646693
Bath and North East Somerset 012E,E01014483,30.0,0.0,60.0,0.0,80.0,0.0,114.8,0.0,144.8,0.0,,,144.8,,-0.71241910331948,0.29533387937454303,0.1367899785776769,0.06208685810884801,0.5689703850263266,0.158755417335179,2.0,0.0002826455624646693
Bath and North East Somerset 014C,E01014437,30.0,,60.0,,80.0,,114.8,,144.8,,,,,,-0.5035865144996108,,0.0928879401863435,,0.681227417174132,,2.0,0.0002826455624646693
