property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 007A,E01014370,12.2,BA13NG,1,3.666666667,0.00047111225324425026,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,185.9,0.0,245.9,0.0,-0.57621354146573,0.019820080159214336,0.11306173464513343,0.010022304911981042,0.4901702430074506,0.17353460426056094,3.666666667,0.00047111225324425026
Bath and North East Somerset 007B,E01014371,11.2,BA13NG,1,2.333333333,0.00029979870653989467,30.0,,60.0,,80.0,,91.2,,,,,,,,,,,,,,2.333333333,0.00029979870653989467
Bath and North East Somerset 007C,E01014372,11.2,BA13NG,1,1.666666667,0.000214141933316202,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 007D,E01014412,12.2,BA13NG,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,185.9,,245.9,,-0.5876566700810124,,0.1188481150839662,,0.38997999252390053,,3.0,0.00038545547989207247
Bath and North East Somerset 007E,E01014413,13.3,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,,,,,-0.5509167558604982,0.0,0.1010737740467148,0.0,0.6901004445073456,0.0,2.666666667,0.0003426270932802261
Bath and North East Somerset 007F,E01014414,11.2,BA13NG,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,,,,,-0.5555177252880323,0.0,0.101866121476618,0.0,0.6909597935863311,0.0,2.333333333,0.00029979870653989467
Bath and North East Somerset 008A,E01014427,6.9,BA13NG,1,0.666666667,8.565677335217782e-05,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 008B,E01014428,6.9,BA13NG,1,0.333333333,4.2828386611846335e-05,30.0,,60.0,,80.0,,86.9,,,,,,,,,,,,,,0.333333333,4.2828386611846335e-05
Bath and North East Somerset 008C,E01014429,7.9,BA13NG,1,1.333333333,0.00017131354657587048,30.0,0.0,60.0,0.0,80.0,0.0,87.9,0.0,117.9,,181.6,,241.6,,-0.6014325184208369,,0.12144514601594258,,0.3927540353283616,,1.333333333,0.00017131354657587048
Bath and North East Somerset 008D,E01014430,7.9,BA13NG,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,87.9,0.0,117.9,0.0,181.6,,241.6,,-0.5724129382207418,0.019346386800063387,0.10769276264776478,0.009168255578785199,0.6174191587961859,0.14977674897854956,3.0,0.00038545547989207247
Bath and North East Somerset 009A,E01014405,7.9,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,87.9,0.0,117.90000000000002,0.0,181.6,0.0,241.6,0.0,-0.5885349272207946,0.022339283253726434,0.11533297563008578,0.010586589652821846,0.4926052013140613,0.17294729268222514,2.666666667,0.0003426270932802261
Bath and North East Somerset 009C,E01014407,10.1,BA13NG,1,1.0,0.00012848515996402416,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,0.0,,,,,-0.5579261645693461,0.0,0.102280646480582,0.0,0.6914094027445281,0.0,1.0,0.00012848515996402416
Bath and North East Somerset 009E,E01033080,10.1,BA13NG,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.09999999999998,0.0,,,,,-0.5579261645693461,0.0,0.102280646480582,0.0,0.6914094027445281,0.0,1.666666667,0.000214141933316202
Bath and North East Somerset 010A,E01014373,17.6,BA13NG,1,3.666666667,0.00047111225324425026,30.0,0.0,60.0,0.0,80.0,0.0,97.59999999999998,0.0,127.59999999999998,0.0,191.3,0.0,251.3,0.0,-0.5607681900648377,0.016701162963095987,0.11021046131467853,0.009321140447829519,0.48711649970411836,0.17426182828052242,3.666666667,0.00047111225324425026
Bath and North East Somerset 010B,E01014374,17.6,BA13NG,1,5.333333333,0.000685254186431967,30.0,0.0,60.0,0.0,80.0,0.0,97.6,0.0,127.6,0.0,191.3,0.0,251.3,0.0,-0.5559469795985761,0.016701162963095987,0.10751967984132418,0.009321140447829519,0.5374215564377363,0.17426182828052245,5.333333333,0.000685254186431967
Bath and North East Somerset 010C,E01014375,19.8,BA13NG,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,99.8,0.0,,,,,,,,,,,,,2.333333333,0.00029979870653989467
Bath and North East Somerset 010D,E01014376,17.6,BA13NG,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,97.6,0.0,127.6,0.0,191.3,,251.3,,-0.5559469795985761,0.020454663685326984,0.10751967984132418,0.0114160189589999,0.5374215564377363,0.21342628046589157,3.0,0.00038545547989207247
Bath and North East Somerset 010E,E01014377,16.5,BA13NG,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,96.5,0.0,126.5,,,,,,-0.5438981216914698,,0.09986391380020931,,0.6887884331545439,,2.333333333,0.00029979870653989467
Bath and North East Somerset 010G,E01033078,18.7,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,0.0,,,,,-0.5390674957331283,0.0,0.09903040499309557,0.0,0.6878846615841877,0.0,2.666666667,0.0003426270932802261
Bath and North East Somerset 010H,E01033079,18.7,BA13NG,1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 011A,E01014461,10.1,BA13NG,1,1.0,0.00012848515996402416,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 011B,E01014462,11.2,BA13NG,1,1.333333333,0.00017131354657587048,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 011C,E01014463,11.2,BA13NG,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,184.9,,244.9,,-0.564352535944048,0.017669621312031324,0.10626252760731117,0.008792812261386338,0.6158759679663952,0.15016765123987172,2.666666667,0.0003426270932802261
Bath and North East Somerset 011D,E01014464,10.1,BA13NG,1,2.0,0.00025697031992804833,30.0,,60.0,,80.0,,90.1,,120.1,,183.8,,243.8,,-0.594379668103735,,0.12011597179522249,,0.39133388062211705,,2.0,0.00025697031992804833
Bath and North East Somerset 012A,E01014380,15.5,BA13NG,1,2.0,0.00025697031992804833,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 012B,E01014381,13.3,BA13NG,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,,,,,,-0.5509167558604982,,0.1010737740467148,,0.6901004445073456,,3.0,0.00038545547989207247
Bath and North East Somerset 012C,E01014481,10.1,BA13NG,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,90.09999999999998,0.0,120.1,0.0,183.8,,243.8,,-0.5761529163365405,0.025776519547174186,0.11119830913790224,0.012611479474650387,0.5413716416833225,0.21218543656085068,2.0,0.00025697031992804833
