property,,unit_travel_time,unit_postcode,selected,admissions,relative_frequency,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Devon 016B,E01019909,21.9,EX25DW,1,4.666666667,0.0005995974132082745,30.0,0.0,60.0,0.0,80.0,0.0,101.9,0.0,131.9,0.0,221.4,,281.4,,-0.5131507278961386,0.03270583856937043,0.09772973599170175,0.00014857731966445758,0.5801662707653794,0.1842923869703397,4.666666667,0.0005995974132082745
East Devon 016C,E01019910,23.0,EX25DW,1,4.0,0.0005139406398560967,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,0.0,222.5,,282.5,,-0.5007808311857436,0.04077542317661909,0.09715014400350142,0.0003494083425919944,0.5263928536845207,0.2258799088108916,4.0,0.0005139406398560967
East Devon 016D,E01019911,21.9,EX25DW,1,3.333333333,0.0004282838665039188,30.0,,60.0,,80.0,,101.9,,,,,,,,,,,,,,3.333333333,0.0004282838665039188
East Devon 017A,E01019894,29.4,EX25DW,1,6.333333333,0.0008137393463959913,30.0,0.0,60.0,0.0,80.0,0.0,109.4,0.0,139.4,0.0,228.9,,288.9,,-0.4943417588611904,0.036668141391623256,0.09433680508317999,0.0010733332987424926,0.5765310667129644,0.18522143849118133,6.333333333,0.0008137393463959913
East Devon 017B,E01019895,28.4,EX25DW,1,4.333333333,0.0005567690264679429,30.0,0.0,60.0,0.0,80.0,0.0,108.4,0.0,138.4,,,,,,-0.5177178011662404,,0.09533863726498404,,0.6838828397193015,,4.333333333,0.0005567690264679429
East Devon 017C,E01019896,27.3,EX25DW,1,6.0,0.0007709109597841449,30.0,0.0,60.0,0.0,80.0,0.0,107.3,0.0,137.3,,226.8,,286.8,,-0.4585368037811137,,0.09434504887204642,,0.36397139829563513,,6.0,0.0007709109597841449
East Devon 017D,E01019897,28.4,EX25DW,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,108.4,0.0,138.4,0.0,,,,,-0.5177178011662404,0.0,0.09533863726498404,0.0,0.6838828397193015,0.0,2.666666667,0.0003426270932802261
East Devon 018A,E01019920,24.1,EX25DW,1,2.333333333,0.00029979870653989467,30.0,,60.0,,80.0,,104.1,,134.1,,,,,,-0.52719230109543,,0.0969785581024103,,0.6856602522029953,,2.333333333,0.00029979870653989467
East Devon 018B,E01019921,24.1,EX25DW,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,104.09999999999998,0.0,134.1,0.0,,,,,-0.52719230109543,0.0,0.0969785581024103,0.0,0.6856602522029953,0.0,2.333333333,0.00029979870653989467
East Devon 018C,E01019922,24.1,EX25DW,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,,,,,,-0.52719230109543,,0.0969785581024103,,0.6856602522029953,,2.333333333,0.00029979870653989467
East Devon 018D,E01019923,24.1,EX25DW,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,,223.6,,283.6,,-0.46851374872564033,,0.0962482682690915,,0.365980074161779,,2.333333333,0.00029979870653989467
East Devon 018E,E01019924,25.1,EX25DW,1,1.333333333,0.00017131354657587048,30.0,0.0,60.0,0.0,80.0,0.0,105.1,0.0,135.1,0.0,,,,,-0.5249903715802715,0.0,0.09659765855945968,0.0,0.6852473833807909,0.0,1.333333333,0.00017131354657587048
East Devon 019A,E01019916,24.1,EX25DW,1,2.0,0.00025697031992804833,30.0,,60.0,,80.0,,104.1,,134.1,,,,,,-0.52719230109543,,0.0969785581024103,,0.6856602522029953,,2.0,0.00025697031992804833
East Devon 019B,E01019917,24.1,EX25DW,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,104.09999999999998,0.0,134.1,0.0,223.6,,283.6,,-0.4978530249105352,0.04149200229088825,0.0966134131857509,0.0005163928933713155,0.5258201631823871,0.22604802170386692,1.666666667,0.000214141933316202
East Devon 019C,E01019918,25.1,EX25DW,1,3.666666667,0.00047111225324425026,30.0,0.0,60.0,0.0,80.0,0.0,105.09999999999998,0.0,135.1,0.0,,,,,-0.5249903715802715,0.0,0.09659765855945968,0.0,0.6852473833807909,0.0,3.666666667,0.00047111225324425026
East Devon 019D,E01019919,24.1,EX25DW,1,1.0,0.00012848515996402416,30.0,,60.0,,80.0,,104.1,,134.1,,,,,,-0.52719230109543,,0.0969785581024103,,0.6856602522029953,,1.0,0.00012848515996402416
East Devon 020A,E01019912,25.1,EX25DW,1,3.666666667,0.00047111225324425026,,,,,,,,,,,,,,,,,,,,,,
East Devon 020B,E01019913,26.2,EX25DW,1,9.0,0.0011563664396762173,30.0,0.0,60.0,0.0,80.0,0.0,106.2,0.0,136.2,0.0,225.7,0.0,285.7,0.0,-0.5090998449520304,0.026723528721092765,0.09591625998554303,0.0005200384241490454,0.6136525472019089,0.14116473994269382,9.0,0.0011563664396762173
East Devon 020C,E01019914,25.1,EX25DW,1,5.0,0.0006424257998201208,30.0,0.0,60.0,0.0,80.0,0.0,105.09999999999998,0.0,135.1,0.0,224.6,,284.6,,-0.5130710293540053,0.026652459465014867,0.09640877563600726,0.0004223550566284909,0.6212682783720609,0.1430616279391177,5.0,0.0006424257998201208
East Devon 020D,E01019915,25.1,EX25DW,1,4.666666667,0.0005995974132082745,30.0,0.0,60.0,0.0,80.0,0.0,105.09999999999998,0.0,135.1,0.0,224.6,0.0,284.6,0.0,-0.48923234490147294,0.03264246303974915,0.09603100978910242,0.000517277189512048,0.4933100683546008,0.17521399511136607,4.666666667,0.0005995974132082745
East Dorset 001D,E01020397,24.1,SP28BJ,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,0.0,200.0,,260.0,,-0.5349720600121636,0.011002240572037601,0.10366874047970409,0.009461346652718361,0.5332973103927389,0.21547373871112743,3.0,0.00038545547989207247
Exeter 001C,E01019998,10.1,EX25DW,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,,209.6,,269.6,,-0.5124136341263865,,0.10460358937050357,,0.3748221664371942,,1.666666667,0.000214141933316202
Exeter 001D,E01019999,10.1,EX25DW,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,0.0,209.6,,269.6,,-0.5351698993478663,0.032182218905175884,0.10344211792554278,0.0016425686697726218,0.5331157845908612,0.2238609816300238,2.666666667,0.0003426270932802261
Exeter 001E,E01020001,12.2,EX25DW,1,0.666666667,8.565677335217782e-05,30.0,,60.0,,80.0,,92.2,,,,,,,,,,,,,,0.666666667,8.565677335217782e-05
Exeter 001F,E01033233,12.2,EX25DW,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,211.7,,271.7,,-0.5295649703945412,0.03360498650677652,0.10241817431897585,0.0013140880221070906,0.5320205471374726,0.22419555441267214,1.666666667,0.000214141933316202
Exeter 002A,E01019990,12.2,EX25DW,1,1.666666667,0.000214141933316202,30.0,,60.0,,80.0,,92.2,,,,,,,,,,,,,,1.666666667,0.000214141933316202
Exeter 002B,E01019991,12.2,EX25DW,1,2.333333333,0.00029979870653989467,30.0,,60.0,,80.0,,92.2,,122.2,,,,,,-0.5533272842351653,,0.1014889737674679,,0.6905507439745506,,2.333333333,0.00029979870653989467
Exeter 002C,E01019993,13.3,EX25DW,1,1.333333333,0.00017131354657587048,30.0,,60.0,,80.0,,93.3,,123.3,,212.8,,272.8,,-0.5023434217619993,,0.10268976185142764,,0.37279349555889874,,1.333333333,0.00017131354657587048
Exeter 002D,E01020000,10.1,EX25DW,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.09999999999998,0.0,209.6,,269.6,,-0.5427553210883596,0.026276671702743736,0.10305496077722252,0.0013411517028083498,0.5858803239754168,0.1827817261040389,2.0,0.00025697031992804833
Exeter 002E,E01020007,9.0,EX25DW,1,3.666666667,0.00047111225324425026,30.0,0.0,60.0,0.0,80.0,0.0,89.0,0.0,119.0,,,,,,-0.5603335053763068,,0.10269481769217104,,0.6918586494967175,,3.666666667,0.00047111225324425026
Exeter 003A,E01019992,10.1,EX25DW,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,90.09999999999998,0.0,120.1,0.0,,,,,-0.5579261645693461,0.0,0.102280646480582,0.0,0.6914094027445281,0.0,3.0,0.00038545547989207247
Exeter 003B,E01020002,13.3,EX25DW,1,1.333333333,0.00017131354657587048,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,,,,,,-0.5509167558604982,,0.1010737740467148,,0.6901004445073456,,1.333333333,0.00017131354657587048
Exeter 003C,E01020003,13.3,EX25DW,1,2.666666667,0.0003426270932802261,30.0,,60.0,,80.0,,93.3,,123.3,,,,,,-0.5509167558604982,,0.1010737740467148,,0.6901004445073456,,2.666666667,0.0003426270932802261
Exeter 003D,E01020004,13.3,EX25DW,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,212.80000000000004,0.0,272.8,0.0,-0.5217727554013989,0.026604710778982684,0.1020433667295425,0.0008851129732944742,0.4997162751382775,0.17379617359220448,2.666666667,0.0003426270932802261
Exeter 003E,E01020005,12.2,EX25DW,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,211.7,0.0,271.7,0.0,-0.5058026565539171,0.0,0.10334737487048379,0.0,0.3734903503003945,0.0,2.666666667,0.0003426270932802261
Exeter 004A,E01019997,9.0,EX25DW,1,1.666666667,0.000214141933316202,,,,,,,,,,,,,,,,,,,,,,
Exeter 004B,E01020019,10.1,EX25DW,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,,209.6,,269.6,,-0.5124136341263865,,0.10460358937050357,,0.3748221664371942,,1.666666667,0.000214141933316202
Exeter 004C,E01020020,9.0,EX25DW,1,1.333333333,0.00017131354657587048,30.0,0.0,60.0,0.0,80.0,0.0,89.0,0.0,119.0,0.0,,,,,-0.5603335053763068,0.0,0.10269481769217104,0.0,0.6918586494967175,0.0,1.333333333,0.00017131354657587048
Exeter 004D,E01020021,11.2,EX25DW,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,,,,,-0.5555177252880323,0.0,0.101866121476618,0.0,0.6909597935863311,0.0,3.0,0.00038545547989207247
Exeter 004E,E01020022,10.1,EX25DW,1,1.0,0.00012848515996402416,30.0,,60.0,,80.0,,90.1,,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,1.0,0.00012848515996402416
Exeter 005A,E01019980,13.3,EX25DW,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,,,,,-0.5509167558604982,0.0,0.1010737740467148,0.0,0.6901004445073456,0.0,2.0,0.00025697031992804833
Exeter 005B,E01019982,13.3,EX25DW,1,1.333333333,0.00017131354657587048,30.0,,60.0,,80.0,,93.3,,,,,,,,,,,,,,1.333333333,0.00017131354657587048
Exeter 005C,E01019983,13.3,EX25DW,1,3.333333333,0.0004282838665039188,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,,,,,,-0.5509167558604982,,0.1010737740467148,,0.6901004445073456,,3.333333333,0.0004282838665039188
Exeter 005D,E01019984,12.2,EX25DW,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,,,,,-0.5533272842351653,0.0,0.1014889737674679,0.0,0.6905507439745506,0.0,2.0,0.00025697031992804833
Exeter 005E,E01019985,11.2,EX25DW,1,1.333333333,0.00017131354657587048,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,,210.7,,270.7,,-0.5089495981466454,,0.10394544637900638,,0.37412431067396845,,1.333333333,0.00017131354657587048
Exeter 006A,E01019987,7.9,EX25DW,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,87.9,0.0,,,,,,,,,,,,,3.0,0.00038545547989207247
Exeter 006B,E01019989,7.9,EX25DW,1,0.666666667,8.565677335217782e-05,30.0,0.0,60.0,0.0,80.0,0.0,87.9,0.0,117.9,,207.4,,267.4,,-0.5193492464028671,,0.10592070057158065,,0.3762194375305024,,0.666666667,8.565677335217782e-05
Exeter 006C,E01020006,9.0,EX25DW,1,2.0,0.00025697031992804833,30.0,,60.0,,80.0,,89.0,,,,,,,,,,,,,,2.0,0.00025697031992804833
Exeter 006D,E01020008,9.0,EX25DW,1,1.0,0.00012848515996402416,,,,,,,,,,,,,,,,,,,,,,
Exeter 006E,E01020009,7.9,EX25DW,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,87.90000000000002,0.0,117.9,,,,,,-0.5627397448207101,,0.10310863485837218,,0.6923075332854607,,1.666666667,0.000214141933316202
Exeter 007A,E01019986,7.9,EX25DW,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,87.9,0.0,117.9,,207.4,,267.4,,-0.5193492464028671,,0.10592070057158065,,0.3762194375305024,,2.0,0.00025697031992804833
Exeter 007B,E01020036,10.1,EX25DW,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,1.666666667,0.000214141933316202
Exeter 007C,E01020037,11.2,EX25DW,1,2.0,0.00025697031992804833,30.0,,60.0,,80.0,,91.2,,121.2,,210.7,,270.7,,-0.5089495981466454,,0.10394544637900638,,0.37412431067396845,,2.0,0.00025697031992804833
Exeter 007D,E01020039,12.2,EX25DW,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,,,,,-0.5533272842351653,0.0,0.1014889737674679,0.0,0.6905507439745507,0.0,3.0,0.00038545547989207247
Exeter 007E,E01020040,10.1,EX25DW,1,3.333333333,0.0004282838665039188,30.0,,60.0,,80.0,,90.1,,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,3.333333333,0.0004282838665039188
Exeter 008A,E01019994,9.0,EX25DW,1,1.0,0.00012848515996402416,,,,,,,,,,,,,,,,,,,,,,
Exeter 008B,E01019995,9.0,EX25DW,1,5.0,0.0006424257998201208,30.0,0.0,60.0,0.0,80.0,0.0,89.0,0.0,119.0,0.0,,,,,-0.5603335053763068,0.0,0.10269481769217104,0.0,0.6918586494967175,0.0,5.0,0.0006424257998201208
Exeter 008C,E01020016,10.1,EX25DW,1,2.333333333,0.00029979870653989467,30.0,,60.0,,80.0,,90.1,,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,2.333333333,0.00029979870653989467
Exeter 008D,E01020017,12.2,EX25DW,1,1.0,0.00012848515996402416,,,,,,,,,,,,,,,,,,,,,,
Exeter 008E,E01020018,11.2,EX25DW,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,,,,,-0.5555177252880323,0.0,0.101866121476618,0.0,0.6909597935863311,0.0,1.666666667,0.000214141933316202
Exeter 009A,E01019996,9.0,EX25DW,1,3.666666667,0.00047111225324425026,30.0,0.0,60.0,0.0,80.0,0.0,89.0,0.0,119.0,0.0,208.5,,268.5,,-0.5381068446036837,0.031433245110909544,0.10397841280002124,0.0018152776101175076,0.533689596196334,0.22368482032511516,3.666666667,0.00047111225324425026
Exeter 009B,E01020023,7.9,EX25DW,1,3.333333333,0.0004282838665039188,30.0,0.0,60.0,0.0,80.0,0.0,87.9,0.0,117.9,,,,,,-0.5627397448207101,,0.10310863485837218,,0.6923075332854607,,3.333333333,0.0004282838665039188
Exeter 009C,E01020024,9.0,EX25DW,1,3.666666667,0.00047111225324425026,,,,,,,,,,,,,,,,,,,,,,
Exeter 009D,E01020025,9.0,EX25DW,1,1.333333333,0.00017131354657587048,,,,,,,,,,,,,,,,,,,,,,
Exeter 010A,E01019975,11.2,EX25DW,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,210.7,,270.7,,-0.5399950162409034,0.02688612074073647,0.10255922977741412,0.0012004987921266255,0.5853479659488768,0.1829250513482776,1.666666667,0.000214141933316202
Exeter 010B,E01020029,10.1,EX25DW,1,1.333333333,0.00017131354657587048,30.0,,60.0,,80.0,,90.1,,,,,,,,,,,,,,1.333333333,0.00017131354657587048
Exeter 010C,E01020030,10.1,EX25DW,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,0.0,,,,,-0.5579261645693461,0.0,0.102280646480582,0.0,0.6914094027445281,0.0,3.0,0.00038545547989207247
Exeter 010D,E01020031,11.2,EX25DW,1,1.666666667,0.000214141933316202,,,,,,,,,,,,,,,,,,,,,,
Exeter 010E,E01020032,11.2,EX25DW,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,,,,,-0.5555177252880323,0.0,0.101866121476618,0.0,0.6909597935863311,0.0,2.333333333,0.00029979870653989467
Exeter 011A,E01020026,10.1,EX25DW,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,0.0,209.6,0.0,269.6,0.0,-0.5351698993478663,0.026276671702743736,0.10344211792554278,0.0013411517028083487,0.5331157845908612,0.18278172610403892,2.0,0.00025697031992804833
Exeter 011B,E01020027,10.1,EX25DW,1,0.666666667,8.565677335217782e-05,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,0.666666667,8.565677335217782e-05
Exeter 011D,E01020035,11.2,EX25DW,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,210.7,,270.7,,-0.5322336617173389,0.032928638488832006,0.10290578392781219,0.0014703047387688794,0.5325420521301498,0.2240365184878461,1.666666667,0.000214141933316202
Exeter 011E,E01020038,11.2,EX25DW,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,,,,,-0.5555177252880323,0.0,0.101866121476618,0.0,0.6909597935863311,0.0,2.333333333,0.00029979870653989467
Exeter 011F,E01033232,11.2,EX25DW,1,1.333333333,0.00017131354657587048,,,,,,,,,,,,,,,,,,,,,,
Exeter 011G,E01033234,11.2,EX25DW,1,1.0,0.00012848515996402416,,,,,,,,,,,,,,,,,,,,,,
Exeter 012A,E01019973,12.2,EX25DW,1,2.0,0.00025697031992804833,30.0,,60.0,,80.0,,92.2,,,,,,,,,,,,,,2.0,0.00025697031992804833
Exeter 012B,E01019974,12.2,EX25DW,1,4.666666667,0.0005995974132082745,,,,,,,,,,,,,,,,,,,,,,
Exeter 012C,E01019976,12.2,EX25DW,1,3.333333333,0.0004282838665039188,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,211.7,,271.7,,-0.5295649703945412,0.03360498650677652,0.10241817431897585,0.0013140880221070906,0.5320205471374726,0.2241955544126721,3.333333333,0.0004282838665039188
Exeter 012D,E01019977,12.2,EX25DW,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,211.7,,271.7,,-0.5058026565539171,,0.10334737487048379,,0.3734903503003945,,2.333333333,0.00029979870653989467
Exeter 012E,E01019981,11.2,EX25DW,1,2.666666667,0.0003426270932802261,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,210.7,,270.7,,-0.5399950162409034,0.026886120740736447,0.10255922977741412,0.0012004987921266223,0.5853479659488768,0.18292505134827763,2.666666667,0.0003426270932802261
Exeter 013A,E01019988,9.0,EX25DW,1,4.0,0.0005139406398560967,30.0,0.0,60.0,0.0,80.0,0.0,89.0,0.0,119.0,0.0,208.5,0.0,268.5,0.0,-0.5436635097968395,0.02300677964755932,0.10365751402305869,0.0013286471641016351,0.57323185952143,0.16372052435456955,4.0,0.0005139406398560967
Exeter 013B,E01020010,9.0,EX25DW,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,89.0,0.0,119.0,,,,,,-0.5603335053763068,,0.10269481769217104,,0.6918586494967175,,2.333333333,0.00029979870653989467
Exeter 013C,E01020013,9.0,EX25DW,1,0.666666667,8.565677335217782e-05,30.0,,60.0,,80.0,,89.0,,,,,,,,,,,,,,0.666666667,8.565677335217782e-05
Exeter 013D,E01020014,10.1,EX25DW,1,2.0,0.00025697031992804833,,,,,,,,,,,,,,,,,,,,,,
Exeter 013E,E01020015,9.0,EX25DW,1,1.666666667,0.000214141933316202,,,,,,,,,,,,,,,,,,,,,,
Exeter 014A,E01019968,13.3,EX25DW,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,212.8,,272.8,,-0.5266300888112487,0.03434653392588829,0.10188176794907122,0.0011426759350272096,0.5314469700331221,0.22436989531906049,3.0,0.00038545547989207247
Exeter 014B,E01019969,12.2,EX25DW,1,3.333333333,0.0004282838665039188,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,,,,,-0.5533272842351653,,0.1014889737674679,,0.6905507439745506,,3.333333333,0.0004282838665039188
Exeter 014C,E01019970,13.3,EX25DW,1,2.0,0.00025697031992804833,,,,,,,,,,,,,,,,,,,,,,
Exeter 014D,E01019971,10.1,EX25DW,1,2.0,0.00025697031992804833,30.0,,60.0,,80.0,,90.1,,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,2.0,0.00025697031992804833
Exeter 014E,E01019972,11.2,EX25DW,1,1.0,0.00012848515996402416,,,,,,,,,,,,,,,,,,,,,,
Exeter 015A,E01020011,9.0,EX25DW,1,1.333333333,0.00017131354657587048,30.0,,60.0,,80.0,,89.0,,,,,,,,,,,,,,1.333333333,0.00017131354657587048
Exeter 015B,E01020012,11.2,EX25DW,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,210.7,0.0,270.7,0.0,-0.5089495981466454,0.0,0.10394544637900638,0.0,0.37412431067396845,0.0,2.0,0.00025697031992804833
Exeter 015C,E01020033,12.2,EX25DW,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,211.7,0.0,271.7,0.0,-0.5295649703945412,0.027438356584905396,0.10241817431897585,0.0010729483770885175,0.5320205471374726,0.18305490363714275,3.0,0.00038545547989207247
Exeter 015E,E01033235,13.3,EX25DW,1,5.666666667,0.0007280825731722986,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,212.8,0.0,272.8,0.0,-0.5347256444943319,0.025083161871100632,0.10161243664828574,0.0008344925140436144,0.58433146152453,0.16385660385509623,5.666666667,0.0007280825731722986
Exeter 015F,E01033236,14.4,EX25DW,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,94.40000000000002,0.0,124.40000000000002,0.0,213.9,,273.9,,-0.5319656592473131,0.028647216443479874,0.10111629034555046,0.0007933989062379024,0.5837989124451405,0.18333908802618082,3.0,0.00038545547989207247
Forest of Dean 001A,E01022233,30.5,GL13NN,1,4.0,0.0005139406398560967,30.0,0.0,60.0,0.0,80.0,0.0,110.5,0.0,140.5,0.0,217.1,,277.1,,-0.5070249289962893,0.012119881682136189,0.09593230013676096,0.0027929926953230697,0.6047782587969951,0.15646916180161213,4.0,0.0005139406398560967
Forest of Dean 001B,E01022235,16.5,GL13NN,1,4.666666667,0.0005995974132082745,30.0,0.0,60.0,0.0,80.0,0.0,96.5,0.0,126.5,,,,,,-0.5438981216914698,,0.09986391380020931,,0.6887884331545439,,4.666666667,0.0005995974132082745
Forest of Dean 001C,E01022247,17.6,GL13NN,1,2.666666667,0.0003426270932802261,30.0,,60.0,,80.0,,97.6,,127.6,,,,,,-0.5414833481997912,,0.09944733542126116,,0.6883367266385902,,2.666666667,0.0003426270932802261
Forest of Dean 001D,E01022270,21.9,GL13NN,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,101.9,0.0,131.9,,,,,,-0.5320334525982371,,0.09781551714720549,,0.6865675299923037,,2.0,0.00025697031992804833
Forest of Dean 001E,E01022271,23.0,GL13NN,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,,,,,,-0.529613409419682,,0.09739721301195137,,0.6861140689385011,,1.666666667,0.000214141933316202
Forest of Dean 002A,E01022261,23.0,GL13NN,1,4.333333333,0.0005567690264679429,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,0.0,,,,,-0.529613409419682,0.0,0.09739721301195137,0.0,0.6861140689385011,0.0,4.333333333,0.0005567690264679429
Forest of Dean 002B,E01022262,21.9,GL13NN,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,101.9,0.0,131.9,,,,,,-0.5320334525982371,,0.09781551714720549,,0.6865675299923037,,2.0,0.00025697031992804833
Forest of Dean 002C,E01022267,23.0,GL13NN,1,5.333333333,0.000685254186431967,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,,209.6,,269.6,,-0.5124136341263865,,0.10460358937050357,,0.3748221664371942,,5.333333333,0.000685254186431967
Forest of Dean 003A,E01022251,31.6,GL13NN,1,1.666666667,0.000214141933316202,30.0,0.0,60.0,0.0,80.0,0.0,111.6,0.0,141.6,,218.2,,278.2,,-0.48539822974424407,,0.09946556249699445,,0.3693802770268837,,1.666666667,0.000214141933316202
Forest of Dean 003B,E01022252,30.5,GL13NN,1,2.333333333,0.00029979870653989467,30.0,,60.0,,80.0,,110.5,,140.5,,,,,,-0.5130848698373573,,0.09453580378909943,,0.6830128396978011,,2.333333333,0.00029979870653989467
Forest of Dean 003C,E01022258,24.1,GL13NN,1,2.333333333,0.00029979870653989467,30.0,0.0,60.0,0.0,80.0,0.0,104.09999999999998,0.0,,,,,,,,,,,,,2.333333333,0.00029979870653989467
Forest of Dean 003D,E01022259,24.1,GL13NN,1,3.0,0.00038545547989207247,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,0.0,210.7,0.0,270.7,0.0,-0.5180709496210377,0.010532429458227155,0.10046200224070834,0.004022334821906797,0.5298922814384819,0.17986535970402714,3.0,0.00038545547989207247
Forest of Dean 003E,E01022260,27.3,GL13NN,1,2.0,0.00025697031992804833,30.0,0.0,60.0,0.0,80.0,0.0,107.3,0.0,137.3,,,,,,-0.5201430464894439,,0.09575866086467022,,0.6843380411691161,,2.0,0.00025697031992804833
Forest of Dean 004A,E01022236,26.2,GL13NN,1,3.333333333,0.0004282838665039188,30.0,,60.0,,80.0,,106.2,,,,,,,,,,,,,,3.333333333,0.0004282838665039188
Forest of Dean 004B,E01022237,28.4,GL13NN,1,1.333333333,0.00017131354657587048,,,,,,,,,,,,,,,,,,,,,,
